	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5069687205506792	EYA4
ENSG00000048540.14	1.0823180632348417	LMO3
ENSG00000268079.1	0.7099466813369145	BNIP3P30
ENSG00000178163.7	-0.6934667625897165	ZNF518B
ENSG00000008300.16	0.5191500465038252	CELSR3
ENSG00000277156.1	0.4895810001205229	TOMM40P1
ENSG00000255836.1	-0.48593806599189016	Gene symbol not found
ENSG00000198838.13	0.48016677100411315	RYR3
ENSG00000205213.13	-0.45048564612103287	LGR4
ENSG00000278530.4	0.44101166121488833	CHMP1B2P
ENSG00000244694.7	0.42309910054213207	PTCHD4
ENSG00000189233.11	0.4219961640419732	NUGGC
ENSG00000228526.6	0.41121908538460145	MIR34AHG
ENSG00000147231.13	0.407169861943551	RADX
ENSG00000101405.3	-0.40023887121717555	OXT
ENSG00000182168.14	0.3937500803461148	UNC5C
ENSG00000207291.1	0.38805016007367193	RNU6-30P
ENSG00000141431.10	0.3794955308271323	ASXL3
ENSG00000185090.14	0.3694289648289472	MANEAL
ENSG00000180817.11	0.3680926963066381	PPA1
ENSG00000266236.1	0.3647642688908612	NARF-IT1
ENSG00000174292.12	0.3608887360695374	TNK1
ENSG00000118526.6	0.3569403743406284	TCF21
ENSG00000053438.8	-0.35499208489305517	NNAT
ENSG00000271709.1	0.3526250888600291	Gene symbol not found
ENSG00000267374.1	-0.34868869688627524	MIR924HG
ENSG00000236536.1	-0.3399606041507139	Gene symbol not found
ENSG00000101955.14	-0.33759246741611615	SRPX
ENSG00000172247.3	-0.33708502834519555	C1QTNF4
ENSG00000261340.1	-0.3331024844600059	LINC01616
ENSG00000250742.2	0.33114196098296683	LINC02381
ENSG00000112599.8	0.33044302476242277	GUCA1B
ENSG00000255468.6	-0.3297157587615235	B4GAT1-DT
ENSG00000160233.7	-0.32425663139548805	LRRC3
ENSG00000275322.1	-0.322022426119784	Gene symbol not found
ENSG00000165478.6	0.3202489326511604	HEPACAM
ENSG00000206052.10	-0.31952007585475667	DOK6
ENSG00000141576.14	0.31173534971958516	RNF157
ENSG00000172667.10	0.3115274404847703	ZMAT3
ENSG00000253958.1	-0.30962194319976805	CLDN23
ENSG00000131080.14	0.30821981331888326	EDA2R
ENSG00000262001.1	-0.303501724788984	DLGAP1-AS2
ENSG00000101882.9	0.30298665325672536	NKAP
ENSG00000217330.1	0.3023501225123836	SSXP10
ENSG00000181036.13	0.3022848044809129	FCRL6
ENSG00000163564.14	0.30160414424263676	PYHIN1
ENSG00000131771.13	-0.2990073089311083	PPP1R1B
ENSG00000132623.15	0.2968210673433457	ANKEF1
ENSG00000263335.1	0.29674700378085134	Gene symbol not found
