	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.39391063481536537	ACER2P1
ENSG00000252719.1	-0.33539846708349713	Gene symbol not found
ENSG00000244694.7	0.3282083744054536	PTCHD4
ENSG00000185088.13	0.31814970963738615	RPS27L
ENSG00000131080.14	0.3096316293103518	EDA2R
ENSG00000252591.1	-0.29269862480150544	RNA5SP468
ENSG00000173535.13	0.2762774622031824	TNFRSF10C
ENSG00000213816.3	-0.2717674962634308	CNN2P4
ENSG00000117594.9	0.2639662699895985	HSD11B1
ENSG00000255492.1	-0.26340265671605106	H3P33
ENSG00000260255.1	-0.25668975348432166	Gene symbol not found
ENSG00000269526.1	-0.24152328885479357	ERVV-1
ENSG00000232139.5	-0.2363423398611316	LINC00867
ENSG00000202272.1	-0.23589160266006695	Y_RNA
ENSG00000280436.1	-0.23213004018569658	Gene symbol not found
ENSG00000236136.1	0.22926002291281655	ADORA2BP1
ENSG00000278698.1	-0.22713432567450992	Gene symbol not found
ENSG00000134574.11	0.22617702840160633	DDB2
ENSG00000216977.1	0.21955771245985659	RPL21P65
ENSG00000203531.3	-0.2149132511140277	Gene symbol not found
ENSG00000235623.2	-0.21308126339311395	OR7E110P
ENSG00000237978.5	0.2025051640063201	KCNMB2-AS1
ENSG00000243539.3	-0.20168735758951958	RN7SL649P
ENSG00000232939.1	-0.20150296734690992	Gene symbol not found
ENSG00000255489.1	-0.19906169494060397	Gene symbol not found
ENSG00000252778.1	-0.19626706392026602	Gene symbol not found
ENSG00000234913.1	-0.1903714545953508	Gene symbol not found
ENSG00000177770.11	-0.18632548044894173	CDKN2AIPNLP1
ENSG00000100593.17	-0.18481971337264186	ISM2
ENSG00000268994.3	-0.1837321424856253	FAM236B
ENSG00000270900.1	-0.1826070069862715	NUDT19P4
ENSG00000251874.1	-0.1812640429093263	RNU6-615P
ENSG00000279954.1	-0.1802571930463371	Gene symbol not found
ENSG00000226320.5	-0.1790239894271389	LINC01811
ENSG00000253305.2	-0.1770282061782329	PCDHGB6
ENSG00000252919.1	-0.17698424598775503	Y_RNA
ENSG00000228162.1	-0.1762530688794373	Gene symbol not found
ENSG00000178163.7	-0.17461644854280495	ZNF518B
ENSG00000267289.1	-0.17387027832554652	PIN1-DT
ENSG00000240423.1	-0.17119482395286895	LINC00636
ENSG00000235151.1	-0.167060348602514	Gene symbol not found
ENSG00000180662.8	-0.16511943681756508	RPL21P8
ENSG00000273568.1	0.165059073657259	Gene symbol not found
ENSG00000234379.1	-0.16158337103901776	HMGB1P48
ENSG00000236886.2	-0.16102823261016136	
ENSG00000254251.1	0.15915676547171514	Gene symbol not found
ENSG00000173451.6	-0.15905747731917863	THAP2
ENSG00000272969.1	-0.15707625767924802	Gene symbol not found
ENSG00000233108.1	-0.15614800158829006	GLCCI1-DT
ENSG00000113494.16	-0.15598553960547287	PRLR
