	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.20717150684843175	CADPS2
ENSG00000126878.12	-0.15429719730214644	AIF1L
ENSG00000244694.7	0.1527787450012989	PTCHD4
ENSG00000281706.2	-0.14984489050395267	LINC01012
ENSG00000185272.13	0.14629887651123039	RBM11
ENSG00000168779.19	0.14586934042863803	SHOX2
ENSG00000244681.1	0.14474146090859166	MTHFD2P1
ENSG00000261786.1	-0.14360799337511013	Gene symbol not found
ENSG00000186472.19	0.14120428060033421	PCLO
ENSG00000232860.7	-0.13788023572918084	SMG7-AS1
ENSG00000082556.10	-0.13366413672500055	OPRK1
ENSG00000064205.10	0.1329405963664362	CCN5
ENSG00000151474.21	-0.1309321530087069	FRMD4A
ENSG00000048540.14	0.12680278448734247	LMO3
ENSG00000196090.12	-0.12554219285596344	PTPRT
ENSG00000266050.2	-0.1249298676278996	Gene symbol not found
ENSG00000258695.2	0.12401979892027416	Gene symbol not found
ENSG00000050555.17	-0.12352430348938544	LAMC3
ENSG00000267504.1	0.12060701361272042	Gene symbol not found
ENSG00000072041.16	0.12041371926217359	SLC6A15
ENSG00000254585.2	-0.11957887629751704	MAGEL2
ENSG00000206828.1	-0.11738502245986839	RNVU1-30
ENSG00000198732.10	-0.11509077733661863	SMOC1
ENSG00000273036.2	0.11459068878978754	CYP4F33P
ENSG00000258675.1	-0.11278943339851737	LINC02308
ENSG00000137968.16	-0.11255967109976181	SLC44A5
ENSG00000278530.4	0.11166342834217811	CHMP1B2P
ENSG00000215529.12	0.11009815533919812	EFCAB8
ENSG00000165325.13	0.11008498155375496	DEUP1
ENSG00000239268.2	-0.10931689617413505	LINC03051
ENSG00000231784.8	-0.10771001836327555	DBIL5P
ENSG00000086717.18	0.10719601921265105	PPEF1
ENSG00000250361.7	0.1064875675727519	GYPB
ENSG00000184500.14	0.10604557151607619	PROS1
ENSG00000280435.1	-0.1058207857050103	Gene symbol not found
ENSG00000151948.11	-0.10424084672182421	GLT1D1
ENSG00000179083.6	0.10385661771277434	FAM133A
ENSG00000188191.14	-0.10284662109732641	PRKAR1B
ENSG00000276107.1	0.1021812057035452	THBS1-IT1
ENSG00000230267.7	-0.10187465650484304	HERC2P4
ENSG00000171403.9	-0.10089886491505079	KRT9
ENSG00000167693.16	-0.10026655647526866	NXN
ENSG00000236155.6	-0.09932846792050144	ZPLD2P
ENSG00000176049.15	0.09870100163783005	JAKMIP2
ENSG00000131941.7	-0.09757647151385347	RHPN2
ENSG00000249693.2	0.09738071477885353	SPMAP2L
ENSG00000215105.4	0.09730018080212482	TTC3P1
ENSG00000233163.1	0.09632816292971218	RPS12P17
ENSG00000067221.13	0.09627638191996986	STOML1
ENSG00000172818.9	0.09488264316999045	OVOL1
