	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5164391760501008	EYA4
ENSG00000048540.14	1.0902958528249838	LMO3
ENSG00000268079.1	0.7096769865138466	BNIP3P30
ENSG00000178163.7	-0.6939945964019473	ZNF518B
ENSG00000008300.16	0.5164833301238145	CELSR3
ENSG00000255836.1	-0.5020309108465087	Gene symbol not found
ENSG00000277156.1	0.4879718284078116	TOMM40P1
ENSG00000198838.13	0.48578277124648916	RYR3
ENSG00000278530.4	0.4482983863364062	CHMP1B2P
ENSG00000205213.13	-0.43290914151708176	LGR4
ENSG00000244694.7	0.43232637913801386	PTCHD4
ENSG00000189233.11	0.41877418268232763	NUGGC
ENSG00000228526.6	0.41798080567334445	MIR34AHG
ENSG00000147231.13	0.40275450336596047	RADX
ENSG00000207291.1	0.40050261440109386	RNU6-30P
ENSG00000182168.14	0.3935318381139258	UNC5C
ENSG00000101405.3	-0.38811884241361544	OXT
ENSG00000185090.14	0.38478214942713584	MANEAL
ENSG00000141431.10	0.37681152898781906	ASXL3
ENSG00000180817.11	0.3766980331440848	PPA1
ENSG00000266236.1	0.37520386271692374	NARF-IT1
ENSG00000174292.12	0.36709593815723895	TNK1
ENSG00000118526.6	0.3592845153681381	TCF21
ENSG00000053438.8	-0.3582378764761622	NNAT
ENSG00000267374.1	-0.3437871014523895	MIR924HG
ENSG00000261340.1	-0.3420367342771663	LINC01616
ENSG00000236536.1	-0.34203248114708035	Gene symbol not found
ENSG00000101955.14	-0.34051009252855957	SRPX
ENSG00000271709.1	0.3374820192003813	Gene symbol not found
ENSG00000250742.2	0.3368632732973361	LINC02381
ENSG00000172247.3	-0.3367481482584174	C1QTNF4
ENSG00000112599.8	0.3319419228183795	GUCA1B
ENSG00000275322.1	-0.3273383761632634	Gene symbol not found
ENSG00000255468.6	-0.32519819495277946	B4GAT1-DT
ENSG00000160233.7	-0.32170925820988444	LRRC3
ENSG00000253958.1	-0.3182522521221413	CLDN23
ENSG00000206052.10	-0.3173935525872124	DOK6
ENSG00000165478.6	0.3157964228858427	HEPACAM
ENSG00000181036.13	0.3128302796306076	FCRL6
ENSG00000131080.14	0.31199425458273616	EDA2R
ENSG00000141576.14	0.3072437191606006	RNF157
ENSG00000101882.9	0.306309403523811	NKAP
ENSG00000172667.10	0.3061977599579623	ZMAT3
ENSG00000229901.1	0.30540621918640376	FOXO6-AS1
ENSG00000217330.1	0.304001104516147	SSXP10
ENSG00000263335.1	0.30284535462099504	Gene symbol not found
ENSG00000262001.1	-0.2994776806014325	DLGAP1-AS2
ENSG00000196109.6	0.29875800179894646	ZNF676
ENSG00000131771.13	-0.2975997910963852	PPP1R1B
