	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.206467604087271	LHFPL4
ENSG00000070019.4	1.1255083448249232	GUCY2C
ENSG00000048540.14	1.0360577319386035	LMO3
ENSG00000154162.14	-0.9998142336219231	CDH12
ENSG00000255442.1	0.891047836864469	Gene symbol not found
ENSG00000104044.15	-0.8408443332280648	OCA2
ENSG00000278318.4	-0.8074879917552595	ZNF229
ENSG00000124253.10	-0.7606560508709327	PCK1
ENSG00000224810.1	-0.7540144190017377	Gene symbol not found
ENSG00000244694.7	0.7348134586114726	PTCHD4
ENSG00000181690.7	-0.7284997090790973	PLAG1
ENSG00000246627.6	0.6919135601077213	
ENSG00000226057.6	0.6060006299810214	PHF2P2
ENSG00000267733.5	0.584136457910906	Gene symbol not found
ENSG00000114378.16	0.5806474545698128	HYAL1
ENSG00000180155.19	-0.5739006532076412	LYNX1
ENSG00000176998.4	0.5636254553815331	HCG4
ENSG00000007372.21	0.5606054655396869	PAX6
ENSG00000207296.1	0.548049789347963	RNU6-140P
ENSG00000185008.17	-0.544493620160044	ROBO2
ENSG00000112333.11	0.5424074798715207	NR2E1
ENSG00000271447.5	0.5335097833907247	MMP28
ENSG00000176153.11	-0.532648439733991	GPX2
ENSG00000229375.1	0.5259660995979707	USP24P1
ENSG00000110092.3	0.5237747381752931	CCND1
ENSG00000261104.1	-0.5103255138521292	Gene symbol not found
ENSG00000267508.5	-0.5039536926920559	ZNF285
ENSG00000100321.14	-0.48687192133724605	SYNGR1
ENSG00000254043.1	-0.47279959020548956	Gene symbol not found
ENSG00000072818.11	0.45764831193609545	ACAP1
ENSG00000105520.10	-0.4432310552726283	PLPPR2
ENSG00000136378.14	0.44291418815099626	ADAMTS7
ENSG00000179151.11	-0.4408022667219738	EDC3
ENSG00000235961.5	-0.4343128075121431	PNMA6A
ENSG00000235903.7	-0.4332968766869919	CPB2-AS1
ENSG00000114405.10	-0.4146101300407493	CEP15
ENSG00000112852.6	0.4124490205735138	PCDHB2
ENSG00000172667.10	0.4075939063139026	ZMAT3
ENSG00000143320.8	0.4062427245697201	CRABP2
ENSG00000164099.3	-0.3981424180680729	PRSS12
ENSG00000146521.9	0.3978591188579563	
ENSG00000163564.14	0.38826666483046973	PYHIN1
ENSG00000184990.12	-0.377825894283728	SIVA1
ENSG00000162722.8	0.3773695376856566	TRIM58
ENSG00000235933.1	0.37525476977842104	LINC01779
ENSG00000128311.13	0.37333900694719235	TST
ENSG00000158023.9	0.36701042059335537	CFAP251
ENSG00000278937.1	-0.3663141557819722	
ENSG00000235725.1	-0.3637514442704582	LINC03050
