	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4443276533179956	ZNF518B
ENSG00000104722.13	-1.7101077879587396	NEFM
ENSG00000185010.13	1.5739403906817997	F8
ENSG00000260015.1	1.4233499173506314	Gene symbol not found
ENSG00000166262.15	-1.1771697778303296	FAM227B
ENSG00000159212.12	-1.105502490897678	CLIC6
ENSG00000206195.10	1.0045724198698696	DUXAP8
ENSG00000148082.9	0.9876141663145613	SHC3
ENSG00000224945.1	0.9592351230919337	Gene symbol not found
ENSG00000255408.3	0.9160333443430407	PCDHA3
ENSG00000119973.5	0.9084447617154687	PRLHR
ENSG00000106341.10	0.8937819511528428	PPP1R17
ENSG00000147889.17	0.88816802411333	CDKN2A
ENSG00000258628.1	0.8861365034134353	RHPN2P1
ENSG00000244694.7	0.8466916077827416	PTCHD4
ENSG00000204176.13	-0.8332564560449288	SYT15
ENSG00000183770.5	0.7544200505291647	FOXL2
ENSG00000255836.1	-0.7540864129012332	Gene symbol not found
ENSG00000143355.15	0.7065661621200043	LHX9
ENSG00000265366.6	0.7028612855233843	GLUD1P2
ENSG00000229020.4	0.6898638465221522	AKR7A2P1
ENSG00000088882.7	-0.6650107319941269	CPXM1
ENSG00000213225.7	-0.6153364828672638	NOC2LP1
ENSG00000163071.10	0.6033415178806196	SPATA18
ENSG00000281205.1	-0.5984482291624559	
ENSG00000147027.3	0.5872409123423825	TMEM47
ENSG00000102796.10	-0.5500452869643573	DHRS12
ENSG00000100867.14	0.4830257254632113	DHRS2
ENSG00000214754.3	-0.4765004287614056	SRSF8CP
ENSG00000131080.14	0.4152674207317876	EDA2R
ENSG00000198804.2	-0.41002047944739783	MT-CO1
ENSG00000236833.1	0.3788880082318227	Gene symbol not found
ENSG00000250218.1	0.37793458216736403	ALDH1L1-AS1
ENSG00000240401.8	0.3580133059468641	
ENSG00000235268.2	-0.3578851488867996	KDM4E
ENSG00000275560.1	0.338146384033656	
ENSG00000272674.3	0.3064820890998536	PCDHB16
ENSG00000204969.6	0.2833996495247961	PCDHA2
ENSG00000255158.1	-0.24755643237867786	Gene symbol not found
ENSG00000200769.1	-0.23529717793276356	Y_RNA
ENSG00000188011.5	-0.21770962747691833	RTP5
ENSG00000173947.13	-0.2157208319785421	CIMAP3
ENSG00000184378.2	-0.19966402214608597	ACTRT3
ENSG00000124203.6	0.1741026529476038	ZNF831
ENSG00000054598.6	0.17328573289726826	FOXC1
ENSG00000100196.10	-0.16139077010915076	KDELR3
ENSG00000167281.18	-0.09634366695137538	RBFOX3
ENSG00000176046.8	-0.08986336680798124	NUPR1
ENSG00000272872.1	0.09966848150668935	
