	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7541482031778373	Gene symbol not found
ENSG00000177791.11	0.7014806017935497	MYOZ1
ENSG00000151136.14	-0.6696710940271535	ABTB3
ENSG00000131080.14	0.6119051933477567	EDA2R
ENSG00000228034.1	-0.6087667705395221	HMGN2P21
ENSG00000226816.2	-0.6022312586311162	Gene symbol not found
ENSG00000102924.11	-0.5757232196452877	CBLN1
ENSG00000074211.13	-0.5680808909643632	PPP2R2C
ENSG00000244694.7	0.5634497712919	PTCHD4
ENSG00000244681.1	0.5581143834213684	MTHFD2P1
ENSG00000250337.5	0.5417247722118181	PURPL
ENSG00000234546.3	0.49296248158996697	LNCTAM34A
ENSG00000250241.5	0.4915697114318928	PCDH10-DT
ENSG00000138650.8	0.48422692378219334	PCDH10
ENSG00000163898.9	0.48111776874240836	LIPH
ENSG00000222705.1	-0.4701831548289199	RN7SKP39
ENSG00000080224.17	0.46313710762726323	EPHA6
ENSG00000237978.5	0.4602088454367407	KCNMB2-AS1
ENSG00000133640.18	0.4582068762055081	LRRIQ1
ENSG00000178075.19	0.44293203851114443	GRAMD1C
ENSG00000171094.16	0.4387111040253759	ALK
ENSG00000164695.4	-0.41453140721274007	CHMP4C
ENSG00000111664.10	0.4124321607792433	GNB3
ENSG00000133816.13	0.4027821078892663	MICAL2
ENSG00000244306.10	0.397362194797397	DUXAP10
ENSG00000235570.1	-0.3904682411196729	LINC00533
ENSG00000242173.8	0.38856375134853477	ARHGDIG
ENSG00000167766.18	-0.38654999625807995	ZNF83
ENSG00000249738.8	-0.380973457489271	Gene symbol not found
ENSG00000181104.6	-0.3771714867726442	F2R
ENSG00000273356.1	0.36837710302109	LINC02019
ENSG00000048540.14	0.36833588275491175	LMO3
ENSG00000151746.13	-0.3635282093462505	BICD1
ENSG00000106302.9	0.3548799607176355	HYAL4
ENSG00000174326.11	-0.3511892565787992	SLC16A11
ENSG00000163453.11	-0.33636332256483703	IGFBP7
ENSG00000233613.5	0.33081391929140436	DCUN1D2-AS
ENSG00000186105.7	-0.3262481080732928	LRRC70
ENSG00000228828.1	0.31940721432619296	TLK2P2
ENSG00000228526.6	0.31854755791131933	MIR34AHG
ENSG00000182492.15	-0.311727600375202	BGN
ENSG00000073060.15	0.3079997083225163	SCARB1
ENSG00000259054.1	-0.30497354054617265	LINC02332
ENSG00000122176.10	-0.30088312346772267	FMOD
ENSG00000280234.1	0.30036784145157286	Gene symbol not found
ENSG00000145246.13	-0.29830389267475516	ATP10D
ENSG00000102886.14	-0.29138269969311237	GDPD3
ENSG00000106686.16	-0.29067564650894345	SPATA6L
ENSG00000163071.10	0.2896906524201509	SPATA18
