	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.1147726745509867	
ENSG00000279039.1	-0.09281783393618559	
ENSG00000052344.15	0.09018718253355129	PRSS8
ENSG00000117594.9	0.08895828027318682	HSD11B1
ENSG00000175718.9	0.0867061406072513	RBMXL3
ENSG00000151718.15	-0.08659145581420918	WWC2
ENSG00000089225.19	0.08341432551317043	TBX5
ENSG00000187867.8	0.07767479468363853	PALM3
ENSG00000227432.1	0.07734459668514664	ASIC4-AS1
ENSG00000253293.4	-0.07668424997471937	HOXA10
ENSG00000266227.1	-0.07573769069929105	NPM1P2
ENSG00000145888.10	0.07496974079270112	GLRA1
ENSG00000271178.1	-0.07383652462640784	IGHV3OR16-13
ENSG00000236968.1	-0.07353222500657945	Gene symbol not found
ENSG00000221977.1	-0.07345773744561723	OR4E2
ENSG00000213435.3	-0.07276313953709959	ATP6V0CP3
ENSG00000249005.3	-0.07258840642998833	FAM90A4P
ENSG00000235070.3	-0.07240616836560973	Gene symbol not found
ENSG00000131095.12	0.07213546912210882	GFAP
ENSG00000181656.6	-0.07194717974499266	GPR88
ENSG00000144119.3	0.07132887942826527	C1QL2
ENSG00000100302.6	0.0708726128054119	RASD2
ENSG00000248229.1	-0.07055079810260383	Gene symbol not found
ENSG00000138759.18	-0.07037170296538149	FRAS1
ENSG00000213698.2	-0.06916180731998739	CAPZA1P3
ENSG00000070159.13	-0.0687835127822433	PTPN3
ENSG00000181195.10	0.06816220744009836	PENK
ENSG00000263505.1	-0.06720021645724461	SLC25A3P3
ENSG00000276945.1	-0.06711640592766838	Gene symbol not found
ENSG00000228467.2	-0.06655658443064635	Gene symbol not found
ENSG00000257737.1	-0.06636709408472087	Gene symbol not found
ENSG00000197919.5	0.06598034432982919	IFNA1
ENSG00000145358.6	0.06597982767024026	DDIT4L
ENSG00000248211.1	-0.06518689484355503	TRPC7-AS1
ENSG00000072182.12	0.06481049713332915	ASIC4
ENSG00000241318.3	-0.06479631523115617	WDR82P2
ENSG00000261761.3	-0.06427941170139218	LINC02616
ENSG00000266184.1	-0.06293935754012174	Gene symbol not found
ENSG00000231464.1	-0.06290547053497976	PPP4R2P3
ENSG00000120337.8	-0.06264669301388986	TNFSF18
ENSG00000263862.1	-0.062333025361863165	LINC01543
ENSG00000198838.13	0.0615535099849702	RYR3
ENSG00000240478.1	-0.06132492272892137	Gene symbol not found
ENSG00000143365.17	0.06111186146510713	RORC
ENSG00000118495.18	-0.060718278153287286	PLAGL1
ENSG00000268583.1	-0.0600892964420414	Gene symbol not found
ENSG00000229204.3	-0.06007917169344895	PTGES3P3
ENSG00000238166.2	-0.05978272990115062	Gene symbol not found
ENSG00000272572.1	-0.0593990073795263	Gene symbol not found
ENSG00000267623.3	-0.05935350389898021	Gene symbol not found
