	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7525592373708577	Gene symbol not found
ENSG00000177791.11	0.7052480827130622	MYOZ1
ENSG00000151136.14	-0.6795352062512944	ABTB3
ENSG00000228034.1	-0.6236306599512791	HMGN2P21
ENSG00000131080.14	0.6043782523257646	EDA2R
ENSG00000226816.2	-0.5943893886437902	Gene symbol not found
ENSG00000102924.11	-0.5780462751586547	CBLN1
ENSG00000244694.7	0.5751224908605203	PTCHD4
ENSG00000074211.13	-0.5594090214644777	PPP2R2C
ENSG00000244681.1	0.5568039653234578	MTHFD2P1
ENSG00000250337.5	0.5218025129657721	PURPL
ENSG00000234546.3	0.5036985683238808	LNCTAM34A
ENSG00000138650.8	0.4946156704728214	PCDH10
ENSG00000250241.5	0.4940506210423409	PCDH10-DT
ENSG00000222705.1	-0.4839413872691348	RN7SKP39
ENSG00000163898.9	0.47996441564364034	LIPH
ENSG00000237978.5	0.4603479864214984	KCNMB2-AS1
ENSG00000080224.17	0.4587641153732895	EPHA6
ENSG00000133640.18	0.45571270473499415	LRRIQ1
ENSG00000178075.19	0.44898484821096407	GRAMD1C
ENSG00000171094.16	0.4336429981115066	ALK
ENSG00000235570.1	-0.42459061618934707	LINC00533
ENSG00000111664.10	0.42261730491413113	GNB3
ENSG00000164695.4	-0.41250831831104007	CHMP4C
ENSG00000244306.10	0.3982606108635827	DUXAP10
ENSG00000167766.18	-0.39127345100507294	ZNF83
ENSG00000133816.13	0.3888707388086483	MICAL2
ENSG00000242173.8	0.3877158659945942	ARHGDIG
ENSG00000048540.14	0.38278623507345155	LMO3
ENSG00000181104.6	-0.3737971718760595	F2R
ENSG00000249738.8	-0.3724312920355519	Gene symbol not found
ENSG00000273356.1	0.37131992659236623	LINC02019
ENSG00000151746.13	-0.3660601211414069	BICD1
ENSG00000106302.9	0.35414686686730523	HYAL4
ENSG00000174326.11	-0.3497482475066107	SLC16A11
ENSG00000163453.11	-0.3370728108263902	IGFBP7
ENSG00000182492.15	-0.3286387332630507	BGN
ENSG00000228828.1	0.32767923917813846	TLK2P2
ENSG00000233613.5	0.3199577448011825	DCUN1D2-AS
ENSG00000228526.6	0.3170109281906371	MIR34AHG
ENSG00000186105.7	-0.3091427192758661	LRRC70
ENSG00000145246.13	-0.30593117784031093	ATP10D
ENSG00000280234.1	0.3036651221412767	Gene symbol not found
ENSG00000259054.1	-0.3014821657409543	LINC02332
ENSG00000122176.10	-0.2999517959653938	FMOD
ENSG00000073060.15	0.2995760710330746	SCARB1
ENSG00000204387.12	-0.2916906712907058	SNHG32
ENSG00000102886.14	-0.2892542156479506	GDPD3
ENSG00000163071.10	0.2883027470026723	SPATA18
