	Coef_liver	Gene_name
ENSG00000242573.1	-0.3800714384110026	ACTR3P3
ENSG00000219702.1	-0.31136466681445646	Gene symbol not found
ENSG00000114631.10	-0.3089866834347921	PODXL2
ENSG00000222426.1	-0.2914727873840834	RNU2-50P
ENSG00000261570.1	-0.2783937097452035	AGK-DT
ENSG00000259326.1	0.2633056417108646	Gene symbol not found
ENSG00000271209.1	0.2521718429378834	BRDTP1
ENSG00000256436.1	0.25173602138046847	TAS2R31
ENSG00000254345.1	-0.24760095891601533	IGKV2D-23
ENSG00000253604.1	-0.2370579968069183	Gene symbol not found
ENSG00000226703.1	-0.23617529199217396	NPM1P4
ENSG00000283205.1	-0.23170551507197687	Gene symbol not found
ENSG00000260877.2	0.22181028524589755	Gene symbol not found
ENSG00000235118.7	-0.2212305714148082	FAM237A
ENSG00000283288.1	-0.2186073184426295	SMIM33
ENSG00000228262.8	0.21566308454406533	LINC01320
ENSG00000237631.2	0.20874799628446442	PARK7P2
ENSG00000231066.3	-0.20822191125313125	NPM1P9
ENSG00000103200.6	-0.20762051175902307	Gene symbol not found
ENSG00000238835.1	-0.20629346527862455	SCARNA18
ENSG00000248647.2	0.20250469191461343	Gene symbol not found
ENSG00000264685.1	-0.20112726700365033	PRPF19P1
ENSG00000250480.3	-0.19902566177469527	RLIG1P1
ENSG00000227240.1	0.1985403869842566	Gene symbol not found
ENSG00000233057.1	0.19651674259800692	EEF1A1P14
ENSG00000283098.1	0.1960108451198697	Gene symbol not found
ENSG00000231849.1	-0.18919452756476396	UBE2V2P4
ENSG00000273989.1	0.18813450536200582	Gene symbol not found
ENSG00000159247.13	0.18787841090158874	TUBBP5
ENSG00000259845.1	-0.18743177584641224	HERC2P10
ENSG00000214185.3	-0.1849504839084245	XPOTP1
ENSG00000108417.3	-0.1841828060326909	KRT37
ENSG00000239958.3	-0.18053410706709538	RN7SL51P
ENSG00000180855.15	0.18025394594378738	ZNF443
ENSG00000255147.1	-0.18014671648589833	EVA1CP4
ENSG00000205220.11	-0.18004742317307293	PSMB10
ENSG00000236062.1	0.17927043894566264	GSTM5P1
ENSG00000225370.1	-0.17823830476949304	Gene symbol not found
ENSG00000254106.1	-0.17452533525114033	LINC01848
ENSG00000102053.12	0.17303537311660191	ZC3H12B
ENSG00000278054.1	-0.17068362672893916	Gene symbol not found
ENSG00000152977.9	0.17034753209557307	ZIC1
ENSG00000179873.14	0.16876764334833128	NLRP11
ENSG00000277474.1	-0.16876547828430116	MIR6894
ENSG00000284242.1	-0.16783734940224332	Gene symbol not found
ENSG00000188738.14	0.16782324524471717	FSIP2
ENSG00000062096.14	0.16759922858108572	ARSF
ENSG00000227814.3	0.16734057118596163	MRPS17P9
ENSG00000272275.1	-0.16677238551107273	Gene symbol not found
ENSG00000081800.8	-0.16671677983824582	SLC13A1
