	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.39577002361450075	PTCHD4
ENSG00000105707.13	0.3646733204489549	HPN
ENSG00000272721.5	-0.36254347624748207	EIF2B5-DT
ENSG00000276656.1	-0.3404434188092637	MIR6083
ENSG00000268758.7	0.33690655568557354	ADGRE4P
ENSG00000198099.8	0.3338500814792343	ADH4
ENSG00000275532.1	-0.3256501184824673	Gene symbol not found
ENSG00000253439.1	0.31927640066270385	CDC42P5
ENSG00000162753.11	-0.3176901826913066	SLC9C2
ENSG00000267225.1	-0.3134592417798363	WDR7-OT1
ENSG00000236345.1	0.30872744790263823	SCAT8
ENSG00000229124.6	0.30696795793849785	VIM-AS1
ENSG00000270947.1	-0.3043749840698259	Gene symbol not found
ENSG00000253549.5	-0.30113497625842983	CA3-AS1
ENSG00000258992.6	-0.29760854866034997	TSPY1
ENSG00000176219.2	-0.29742518018194053	OR11H6
ENSG00000273870.1	-0.29278945272568513	Gene symbol not found
ENSG00000250337.5	0.28942806215118033	PURPL
ENSG00000149403.12	0.2834560896876803	GRIK4
ENSG00000131080.14	0.28095080704438335	EDA2R
ENSG00000272872.1	0.2742295121383651	
ENSG00000145107.15	-0.2721854486592403	TM4SF19
ENSG00000093072.15	-0.2699514585033188	ADA2
ENSG00000282692.1	0.26834763543565954	Gene symbol not found
ENSG00000263276.1	0.2657952611667931	Gene symbol not found
ENSG00000146070.16	-0.2644445566032581	PLA2G7
ENSG00000229891.1	0.26437807614642256	LINC01315
ENSG00000105711.11	0.2514695225038681	SCN1B
ENSG00000273143.1	0.24604918082704647	DUSP5-DT
ENSG00000271734.1	0.24527769222378767	
ENSG00000170231.15	0.2422952137419021	FABP6
ENSG00000076944.15	-0.23916724757303345	STXBP2
ENSG00000241346.1	0.2369129102905881	SNRPCP11
ENSG00000178343.4	0.23648205301233283	SHISA3
ENSG00000240160.3	0.2360519440764889	RN7SL263P
ENSG00000057657.15	0.23446915390044962	PRDM1
ENSG00000124762.13	0.2339729751019241	CDKN1A
ENSG00000232530.1	0.23269275544288895	LIF-AS1
ENSG00000260144.1	0.23135809173485442	Gene symbol not found
ENSG00000184895.7	-0.22921722428096908	SRY
ENSG00000232732.9	0.22919071617215453	Gene symbol not found
ENSG00000253894.1	-0.22818142101851116	Gene symbol not found
ENSG00000222714.1	0.22659568469289976	RN7SKP38
ENSG00000254281.1	-0.22491234316688566	
ENSG00000262362.1	0.22299695104461947	Gene symbol not found
ENSG00000271600.1	-0.22277358531776956	Gene symbol not found
ENSG00000279846.1	0.2224824991178434	Gene symbol not found
ENSG00000178538.9	-0.22089751123930426	CA8
ENSG00000106025.8	0.21839682066416685	TSPAN12
