	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7632378184135239	Gene symbol not found
ENSG00000177791.11	0.6946135886915356	MYOZ1
ENSG00000151136.14	-0.6655739971122705	ABTB3
ENSG00000131080.14	0.6154293574243835	EDA2R
ENSG00000228034.1	-0.6134400274017937	HMGN2P21
ENSG00000226816.2	-0.5922768471099191	Gene symbol not found
ENSG00000244694.7	0.5778786713120555	PTCHD4
ENSG00000102924.11	-0.5744009349294679	CBLN1
ENSG00000074211.13	-0.5665201572840763	PPP2R2C
ENSG00000244681.1	0.5641064164171753	MTHFD2P1
ENSG00000250337.5	0.5357614392585291	PURPL
ENSG00000234546.3	0.49808194555081525	LNCTAM34A
ENSG00000222705.1	-0.4956625793614075	RN7SKP39
ENSG00000163898.9	0.4854107734804363	LIPH
ENSG00000138650.8	0.4790042974596266	PCDH10
ENSG00000133640.18	0.47261909303582794	LRRIQ1
ENSG00000250241.5	0.4715737021621101	PCDH10-DT
ENSG00000080224.17	0.4708835252537793	EPHA6
ENSG00000178075.19	0.44810877928510123	GRAMD1C
ENSG00000237978.5	0.44539246892503115	KCNMB2-AS1
ENSG00000171094.16	0.436485777401423	ALK
ENSG00000164695.4	-0.4200054752982312	CHMP4C
ENSG00000111664.10	0.4181061124869341	GNB3
ENSG00000244306.10	0.4080388079663449	DUXAP10
ENSG00000242173.8	0.40178261407166904	ARHGDIG
ENSG00000133816.13	0.39774280864870126	MICAL2
ENSG00000167766.18	-0.3973535054006174	ZNF83
ENSG00000235570.1	-0.39651175172674186	LINC00533
ENSG00000048540.14	0.3757903167745748	LMO3
ENSG00000181104.6	-0.37537458402026086	F2R
ENSG00000273356.1	0.37371992330883974	LINC02019
ENSG00000249738.8	-0.37092763803351925	Gene symbol not found
ENSG00000151746.13	-0.3639207458067202	BICD1
ENSG00000174326.11	-0.34988302469917143	SLC16A11
ENSG00000163453.11	-0.3399874635325816	IGFBP7
ENSG00000106302.9	0.33944111533113835	HYAL4
ENSG00000233613.5	0.3325802117291059	DCUN1D2-AS
ENSG00000228526.6	0.3250616439956221	MIR34AHG
ENSG00000073060.15	0.3208418009787741	SCARB1
ENSG00000186105.7	-0.31410322416482606	LRRC70
ENSG00000182492.15	-0.3136939748217052	BGN
ENSG00000122176.10	-0.30786415199225864	FMOD
ENSG00000228828.1	0.30215512702192177	TLK2P2
ENSG00000102886.14	-0.30201477735330984	GDPD3
ENSG00000145246.13	-0.30184062743804985	ATP10D
ENSG00000280234.1	0.29968220892161174	Gene symbol not found
ENSG00000163071.10	0.2988043056785494	SPATA18
ENSG00000259054.1	-0.29739847614991033	LINC02332
ENSG00000225210.9	0.29191421212261337	DUXAP9
