	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5095914221630877	EYA4
ENSG00000048540.14	1.0897581142154467	LMO3
ENSG00000268079.1	0.7186026950540937	BNIP3P30
ENSG00000178163.7	-0.6878963322983909	ZNF518B
ENSG00000008300.16	0.5094845403399544	CELSR3
ENSG00000255836.1	-0.492519413600271	Gene symbol not found
ENSG00000198838.13	0.49209069712729353	RYR3
ENSG00000277156.1	0.48605393944356107	TOMM40P1
ENSG00000205213.13	-0.45041950177802714	LGR4
ENSG00000278530.4	0.4495660503313969	CHMP1B2P
ENSG00000244694.7	0.4283970572052121	PTCHD4
ENSG00000189233.11	0.4259693920569405	NUGGC
ENSG00000147231.13	0.4107207748014889	RADX
ENSG00000228526.6	0.41051794934810426	MIR34AHG
ENSG00000207291.1	0.40300351728225803	RNU6-30P
ENSG00000182168.14	0.3941082115601153	UNC5C
ENSG00000101405.3	-0.38127089553574645	OXT
ENSG00000180817.11	0.3745463351715302	PPA1
ENSG00000266236.1	0.3732358941215233	NARF-IT1
ENSG00000141431.10	0.3721547661863158	ASXL3
ENSG00000174292.12	0.3660201294181159	TNK1
ENSG00000185090.14	0.36537584369141357	MANEAL
ENSG00000053438.8	-0.3634656142461892	NNAT
ENSG00000118526.6	0.36189920811553694	TCF21
ENSG00000267374.1	-0.3525221837304582	MIR924HG
ENSG00000271709.1	0.3488957881127176	Gene symbol not found
ENSG00000172247.3	-0.3432668822043436	C1QTNF4
ENSG00000250742.2	0.34275412021219553	LINC02381
ENSG00000255468.6	-0.33698978127577217	B4GAT1-DT
ENSG00000236536.1	-0.3349163347003896	Gene symbol not found
ENSG00000261340.1	-0.3347771845551259	LINC01616
ENSG00000101955.14	-0.33066875662118284	SRPX
ENSG00000112599.8	0.3289969249181115	GUCA1B
ENSG00000275322.1	-0.3259613062568778	Gene symbol not found
ENSG00000206052.10	-0.32098758286479423	DOK6
ENSG00000160233.7	-0.3205553269619182	LRRC3
ENSG00000165478.6	0.31551011122630496	HEPACAM
ENSG00000141576.14	0.3121631639536475	RNF157
ENSG00000217330.1	0.3094789704152393	SSXP10
ENSG00000131080.14	0.30909388465385534	EDA2R
ENSG00000172667.10	0.30730006179480707	ZMAT3
ENSG00000253958.1	-0.3047979133691096	CLDN23
ENSG00000101882.9	0.30456895988600896	NKAP
ENSG00000262001.1	-0.30118016056618335	DLGAP1-AS2
ENSG00000131771.13	-0.2991544076739253	PPP1R1B
ENSG00000181036.13	0.29892757213030885	FCRL6
ENSG00000196109.6	0.2964399177434752	ZNF676
ENSG00000196878.14	-0.295665142178723	LAMB3
ENSG00000228242.6	-0.29168257161920536	XPC-AS1
