	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4155069967684484	ZNF518B
ENSG00000104722.13	-1.696020278596477	NEFM
ENSG00000185010.13	1.5971457069530561	F8
ENSG00000260015.1	1.4330925608422536	Gene symbol not found
ENSG00000166262.15	-1.1966068818728106	FAM227B
ENSG00000159212.12	-1.071099547622811	CLIC6
ENSG00000148082.9	0.9923293255392581	SHC3
ENSG00000224945.1	0.9748622938266465	Gene symbol not found
ENSG00000206195.10	0.9657782102844504	DUXAP8
ENSG00000255408.3	0.9160298571389257	PCDHA3
ENSG00000119973.5	0.9120020604231184	PRLHR
ENSG00000106341.10	0.9105169119141311	PPP1R17
ENSG00000147889.17	0.9006488896459485	CDKN2A
ENSG00000258628.1	0.9001992610930566	RHPN2P1
ENSG00000244694.7	0.864906709627506	PTCHD4
ENSG00000204176.13	-0.8562413800842743	SYT15
ENSG00000183770.5	0.8013301650205765	FOXL2
ENSG00000255836.1	-0.777735570121813	Gene symbol not found
ENSG00000229020.4	0.7172050718506708	AKR7A2P1
ENSG00000265366.6	0.7126079197242362	GLUD1P2
ENSG00000088882.7	-0.7072706963470823	CPXM1
ENSG00000143355.15	0.6660128522277267	LHX9
ENSG00000163071.10	0.6101255477523732	SPATA18
ENSG00000281205.1	-0.5962804784834054	
ENSG00000147027.3	0.5797531769139493	TMEM47
ENSG00000213225.7	-0.5748392270075005	NOC2LP1
ENSG00000102796.10	-0.5522523059939453	DHRS12
ENSG00000100867.14	0.4805933657444602	DHRS2
ENSG00000214754.3	-0.43479497848244086	SRSF8CP
ENSG00000198804.2	-0.4275071691940223	MT-CO1
ENSG00000131080.14	0.42032048723750864	EDA2R
ENSG00000240401.8	0.3733445914798007	
ENSG00000250218.1	0.37211785153900234	ALDH1L1-AS1
ENSG00000235268.2	-0.35606119528426194	KDM4E
ENSG00000236833.1	0.35141899630818135	Gene symbol not found
ENSG00000275560.1	0.3204942843009294	
ENSG00000204969.6	0.30252198563105265	PCDHA2
ENSG00000272674.3	0.2887975314534613	PCDHB16
ENSG00000173947.13	-0.2576439070053802	CIMAP3
ENSG00000255158.1	-0.2522326037520328	Gene symbol not found
ENSG00000200769.1	-0.2168559053422376	Y_RNA
ENSG00000054598.6	0.20012586163088736	FOXC1
ENSG00000188011.5	-0.19547760433701114	RTP5
ENSG00000184378.2	-0.19652217091383736	ACTRT3
ENSG00000100196.10	-0.17117624988824182	KDELR3
ENSG00000124203.6	0.16053212527422017	ZNF831
ENSG00000167281.18	-0.15713371223311248	RBFOX3
ENSG00000272872.1	0.10065203420146014	
ENSG00000176046.8	-0.1126369677970658	NUPR1
