	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11474562568402845	
ENSG00000279039.1	-0.09396613637298924	
ENSG00000052344.15	0.09157371100927605	PRSS8
ENSG00000117594.9	0.09021897314469379	HSD11B1
ENSG00000175718.9	0.08914190933345573	RBMXL3
ENSG00000089225.19	0.08686757878728135	TBX5
ENSG00000151718.15	-0.08640019083443914	WWC2
ENSG00000266227.1	-0.08069508104313572	NPM1P2
ENSG00000187867.8	0.0783403584255099	PALM3
ENSG00000227432.1	0.07785643881459843	ASIC4-AS1
ENSG00000271178.1	-0.07693296343704922	IGHV3OR16-13
ENSG00000253293.4	-0.07633596958414862	HOXA10
ENSG00000145888.10	0.07565549036343491	GLRA1
ENSG00000235070.3	-0.07417405728234003	Gene symbol not found
ENSG00000249005.3	-0.07311742939066414	FAM90A4P
ENSG00000213435.3	-0.07309112434131519	ATP6V0CP3
ENSG00000236968.1	-0.0725682447464752	Gene symbol not found
ENSG00000100302.6	0.07176047287662034	RASD2
ENSG00000221977.1	-0.07159908443369656	OR4E2
ENSG00000131095.12	0.07135538053288829	GFAP
ENSG00000181656.6	-0.0712908953357067	GPR88
ENSG00000248229.1	-0.07059332552243976	Gene symbol not found
ENSG00000144119.3	0.07053452590283421	C1QL2
ENSG00000138759.18	-0.06986066721145907	FRAS1
ENSG00000213698.2	-0.06963270461583937	CAPZA1P3
ENSG00000070159.13	-0.06939125749416102	PTPN3
ENSG00000181195.10	0.0692123613155949	PENK
ENSG00000263505.1	-0.06912522407679138	SLC25A3P3
ENSG00000228467.2	-0.0687509887633272	Gene symbol not found
ENSG00000276945.1	-0.068749729551053	Gene symbol not found
ENSG00000197919.5	0.06744260629026197	IFNA1
ENSG00000257737.1	-0.06726192502804697	Gene symbol not found
ENSG00000145358.6	0.06692744624847194	DDIT4L
ENSG00000241318.3	-0.06595162432743942	WDR82P2
ENSG00000248211.1	-0.06585689180432819	TRPC7-AS1
ENSG00000266184.1	-0.06558335970757138	Gene symbol not found
ENSG00000261761.3	-0.06543179337429984	LINC02616
ENSG00000263862.1	-0.06474027993464616	LINC01543
ENSG00000072182.12	0.06418422624645766	ASIC4
ENSG00000231464.1	-0.06357237836962233	PPP4R2P3
ENSG00000118495.18	-0.0629564818731092	PLAGL1
ENSG00000198838.13	0.06204108889576087	RYR3
ENSG00000143365.17	0.061777550100636514	RORC
ENSG00000240478.1	-0.06155601248679445	Gene symbol not found
ENSG00000271671.1	-0.0614758634102173	Gene symbol not found
ENSG00000120337.8	-0.06124826540308732	TNFSF18
ENSG00000238166.2	-0.06103953642228652	Gene symbol not found
ENSG00000268583.1	-0.06092748353109757	Gene symbol not found
ENSG00000272572.1	-0.06052830806413415	Gene symbol not found
ENSG00000229204.3	-0.060507452966755186	PTGES3P3
