	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5075929787835531	EYA4
ENSG00000048540.14	1.083557397658578	LMO3
ENSG00000268079.1	0.7175401313251536	BNIP3P30
ENSG00000178163.7	-0.6936483882515416	ZNF518B
ENSG00000008300.16	0.5054907251409821	CELSR3
ENSG00000255836.1	-0.5017350657406183	Gene symbol not found
ENSG00000198838.13	0.4848780296052554	RYR3
ENSG00000277156.1	0.48319363341548105	TOMM40P1
ENSG00000205213.13	-0.4536052363455654	LGR4
ENSG00000278530.4	0.44754128805091026	CHMP1B2P
ENSG00000189233.11	0.42193300667234573	NUGGC
ENSG00000244694.7	0.42190651377361327	PTCHD4
ENSG00000228526.6	0.4102452054427405	MIR34AHG
ENSG00000147231.13	0.40461648824548263	RADX
ENSG00000207291.1	0.3995927649214669	RNU6-30P
ENSG00000182168.14	0.3995390757448371	UNC5C
ENSG00000101405.3	-0.38886155242446996	OXT
ENSG00000141431.10	0.3792455718763704	ASXL3
ENSG00000185090.14	0.3767016537207588	MANEAL
ENSG00000180817.11	0.37444512903204275	PPA1
ENSG00000174292.12	0.3654175905250917	TNK1
ENSG00000118526.6	0.3621121135767383	TCF21
ENSG00000271709.1	0.35791201720808813	Gene symbol not found
ENSG00000053438.8	-0.35621980947299947	NNAT
ENSG00000266236.1	0.3538423141261275	NARF-IT1
ENSG00000267374.1	-0.35045179026563256	MIR924HG
ENSG00000172247.3	-0.34608155785683514	C1QTNF4
ENSG00000255468.6	-0.3443226491518894	B4GAT1-DT
ENSG00000112599.8	0.3398054643043911	GUCA1B
ENSG00000261340.1	-0.339287396697778	LINC01616
ENSG00000236536.1	-0.3355617743730721	Gene symbol not found
ENSG00000101955.14	-0.33055694405964514	SRPX
ENSG00000250742.2	0.3302769934170873	LINC02381
ENSG00000275322.1	-0.32197145468941823	Gene symbol not found
ENSG00000206052.10	-0.31966912521227414	DOK6
ENSG00000160233.7	-0.31886988398096167	LRRC3
ENSG00000131080.14	0.3186785962313024	EDA2R
ENSG00000165478.6	0.3145152032977945	HEPACAM
ENSG00000141576.14	0.31218152364926144	RNF157
ENSG00000172667.10	0.31087487092608895	ZMAT3
ENSG00000217330.1	0.3103821044623862	SSXP10
ENSG00000181036.13	0.3065289088097267	FCRL6
ENSG00000253958.1	-0.30613118686263857	CLDN23
ENSG00000235513.1	0.3005553323758391	L3MBTL2-AS1
ENSG00000262001.1	-0.30030187670380615	DLGAP1-AS2
ENSG00000196878.14	-0.30016465276699833	LAMB3
ENSG00000131771.13	-0.29774884482345537	PPP1R1B
ENSG00000229901.1	0.2972004053229388	FOXO6-AS1
ENSG00000101882.9	0.29527506884289034	NKAP
