	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.1534569488814726	0.5663262491759615			0.5726323308455814	0.4316736672102321	0.39382563189578307	0.7482520445027684	0.36489188270164447	0.3774587252899896	0.8528809646231844	PTCHD4
ENSG00000131080.14				0.25433934954348025		0.6077049944111419	0.3083257897569518	0.6892492568744745		0.3916947576895218	0.2677166610463269	0.40624060214351865	EDA2R
ENSG00000244681.1		0.14945024742940596				0.552696789248522		0.44878844015791103		0.3754316033830329	0.25062581188606026		MTHFD2P1
ENSG00000048540.14		0.128383066776315	0.6136163556919983			0.379213989226173	1.0891348613515301		1.0382064010029672				LMO3
ENSG00000228526.6				0.1581458331094904		0.3182471361707625	0.40640774220588394				0.39889745604720755		MIR34AHG
ENSG00000178163.7							-0.6889666676171167	-0.7368609971829839		-0.38293841968020526		-2.444294498002285	ZNF518B
ENSG00000081803.15		0.20866956611960624	0.3725282758685933								0.16981056158020133		CADPS2
ENSG00000278530.4		0.11200272324026983					0.44252837373892395				0.16361988313899747		CHMP1B2P
ENSG00000255836.1				-0.19745970172449392			-0.49905302121060596					-0.748399373311341	Gene symbol not found
ENSG00000163071.10				0.16671390520393556		0.29230066033618574						0.6237063918486158	SPATA18
ENSG00000250337.5						0.5318465883962491				0.18625787766289714	0.2633212105138326		PURPL
ENSG00000112319.17							1.506700885482575			0.22156435401878957	0.41274276266833365		EYA4
ENSG00000172667.10							0.3041733403329716		0.41019095520922455	0.21388180273874327			ZMAT3
ENSG00000147889.17								0.6044787888934059			0.29997160976893733	0.8687552094474685	CDKN2A
ENSG00000196109.6								0.3042799395601247		0.38748811781577364	0.17753175131831544		ZNF676
