	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.41575892311012225	EYA4
ENSG00000228526.6	0.3966773832065226	MIR34AHG
ENSG00000244694.7	0.37921614361864053	PTCHD4
ENSG00000170049.9	-0.34521272468842856	KCNAB3
ENSG00000248799.1	-0.3084111407911629	Gene symbol not found
ENSG00000147889.17	0.2964825378874443	CDKN2A
ENSG00000138829.11	-0.27102194209083086	FBN2
ENSG00000131080.14	0.26942984865910163	EDA2R
ENSG00000250337.5	0.26266726390284123	PURPL
ENSG00000227708.1	-0.2553154878916405	LINC01850
ENSG00000244681.1	0.255048390821127	MTHFD2P1
ENSG00000200036.1	-0.2541786181927675	RNA5SP65
ENSG00000270212.1	-0.2530607653535984	Gene symbol not found
ENSG00000237438.7	0.24093717117496413	CECR7
ENSG00000281937.1	0.23081800350084708	
ENSG00000227704.1	-0.21546825735883002	Gene symbol not found
ENSG00000064655.18	0.20889111227316434	EYA2
ENSG00000206195.10	0.19981552025935034	DUXAP8
ENSG00000273455.1	0.19838755544280803	Gene symbol not found
ENSG00000225511.6	0.198275462790694	LINC00475
ENSG00000224988.1	-0.18773253301737786	Gene symbol not found
ENSG00000168828.5	0.18707226429331394	OR13J1
ENSG00000162639.15	-0.18569986814018255	HENMT1
ENSG00000267282.1	0.183182450846714	Gene symbol not found
ENSG00000255159.1	-0.18309230547865646	DENND2B-AS1
ENSG00000217004.1	-0.1815041245837258	Gene symbol not found
ENSG00000198807.12	0.1811067943420986	PAX9
ENSG00000233254.1	0.18075454026403906	RPL21P134
ENSG00000223284.1	-0.1785868396718676	RNU6-195P
ENSG00000273604.1	-0.17836078037448433	EPOP
ENSG00000196109.6	0.1757889402775033	ZNF676
ENSG00000269947.1	-0.17263984118960804	Gene symbol not found
ENSG00000081803.15	0.17241268782406508	CADPS2
ENSG00000168779.19	0.16632985901843061	SHOX2
ENSG00000213225.7	-0.16576075580200267	NOC2LP1
ENSG00000272922.1	0.1655533767157061	
ENSG00000278530.4	0.16488414048782096	CHMP1B2P
ENSG00000255408.3	0.16411959749864333	PCDHA3
ENSG00000111339.10	0.164042200802823	ART4
ENSG00000249973.2	0.15891256375717658	CHCHD2P7
ENSG00000130943.6	-0.15801517768902856	PKDREJ
ENSG00000237512.6	0.15768835180745974	UNC5B-AS1
ENSG00000268079.1	0.15767846886172115	BNIP3P30
ENSG00000231952.3	-0.15642048233161787	DPY19L1P2
ENSG00000164109.13	-0.15621855809815538	MAD2L1
ENSG00000279067.1	0.15354955966645092	Gene symbol not found
ENSG00000113810.15	-0.15339728192247537	SMC4
ENSG00000260304.1	0.15329329153182908	Gene symbol not found
ENSG00000226925.1	-0.15218526712299932	IL1R1-AS1
