	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.1543543571291194	0.5548169808698827			0.5698965402732874	0.4176035382623899	0.39246051590020836	0.745631229424543	0.36417593643111357	0.38056650322878965	0.8466916077827416	PTCHD4
ENSG00000131080.14				0.2522905859453392		0.6102038593119279	0.30639538872404076	0.6876948153912312		0.38849198609071744	0.2699416182817877	0.4152674207317876	EDA2R
ENSG00000244681.1		0.1484909165996427				0.5594233792051885		0.45854316145570323		0.37144541948130666	0.2503010425858137		MTHFD2P1
ENSG00000048540.14		0.1294703394715725	0.6095778466551852			0.37285590611650676	1.080470276135636		1.0405405512868195				LMO3
ENSG00000228526.6				0.16117518807920705		0.3120500884979906	0.4115550574709366				0.39966092879033		MIR34AHG
ENSG00000178163.7							-0.6919470543554433	-0.7407973877640109		-0.38419542540301094		-2.4443276533179956	ZNF518B
ENSG00000081803.15		0.2078930372906785	0.37353132464164646								0.17407582641554986		CADPS2
ENSG00000278530.4		0.11281240489209322					0.4397305109680894				0.16198858687991824		CHMP1B2P
ENSG00000255836.1				-0.19681238354398267			-0.4994206116544751					-0.7540864129012332	Gene symbol not found
ENSG00000163071.10				0.1678668438778033		0.2926582855526623						0.6033415178806196	SPATA18
ENSG00000250337.5						0.5379663212319558				0.19061873444902724	0.26475987749011276		PURPL
ENSG00000112319.17							1.505933794606192			0.2304650197118574	0.4156304332690426		EYA4
ENSG00000172667.10							0.3115817510853838		0.3996151775485661	0.20686100158697554			ZMAT3
ENSG00000147889.17								0.6041170252138365			0.2974772845717207	0.88816802411333	CDKN2A
ENSG00000196109.6								0.2976337849756338		0.3941317418443346	0.17374618873968814		ZNF676
