	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.76889244111709	Gene symbol not found
ENSG00000177791.11	0.7020219775253871	MYOZ1
ENSG00000151136.14	-0.6851448218833606	ABTB3
ENSG00000228034.1	-0.6186721788174209	HMGN2P21
ENSG00000131080.14	0.6067447998316157	EDA2R
ENSG00000226816.2	-0.5974762600823854	Gene symbol not found
ENSG00000102924.11	-0.5805562930333331	CBLN1
ENSG00000074211.13	-0.5723227489945062	PPP2R2C
ENSG00000244694.7	0.568107147373855	PTCHD4
ENSG00000244681.1	0.5639398793252367	MTHFD2P1
ENSG00000250337.5	0.5247120142270463	PURPL
ENSG00000138650.8	0.4936451802158765	PCDH10
ENSG00000234546.3	0.4918642604523265	LNCTAM34A
ENSG00000250241.5	0.4836503938950412	PCDH10-DT
ENSG00000163898.9	0.4814910937208463	LIPH
ENSG00000080224.17	0.4721779122081427	EPHA6
ENSG00000222705.1	-0.4702157903930373	RN7SKP39
ENSG00000237978.5	0.46620190621633445	KCNMB2-AS1
ENSG00000178075.19	0.45946238006020046	GRAMD1C
ENSG00000133640.18	0.4495927050811586	LRRIQ1
ENSG00000171094.16	0.42877707021015143	ALK
ENSG00000111664.10	0.4276633030743967	GNB3
ENSG00000164695.4	-0.42690757786719924	CHMP4C
ENSG00000235570.1	-0.4030644350253769	LINC00533
ENSG00000167766.18	-0.3989464697604096	ZNF83
ENSG00000244306.10	0.3988110664572744	DUXAP10
ENSG00000242173.8	0.39135619538540345	ARHGDIG
ENSG00000133816.13	0.3842101997352168	MICAL2
ENSG00000181104.6	-0.3768186774087244	F2R
ENSG00000048540.14	0.37598697165172734	LMO3
ENSG00000249738.8	-0.37300689647727175	Gene symbol not found
ENSG00000273356.1	0.3725287523501011	LINC02019
ENSG00000151746.13	-0.3669991785704558	BICD1
ENSG00000174326.11	-0.3519361457314779	SLC16A11
ENSG00000106302.9	0.34560210787488216	HYAL4
ENSG00000163453.11	-0.34185699762260535	IGFBP7
ENSG00000228828.1	0.32092136234214585	TLK2P2
ENSG00000182492.15	-0.31857061130789016	BGN
ENSG00000228526.6	0.3173741401682582	MIR34AHG
ENSG00000233613.5	0.3147686561978283	DCUN1D2-AS
ENSG00000259054.1	-0.3089374269209622	LINC02332
ENSG00000186105.7	-0.30562846851129205	LRRC70
ENSG00000073060.15	0.3008865402059733	SCARB1
ENSG00000145246.13	-0.29896607601092995	ATP10D
ENSG00000122176.10	-0.2981058966131016	FMOD
ENSG00000102886.14	-0.2961450063597348	GDPD3
ENSG00000163071.10	0.2930432312689834	SPATA18
ENSG00000204387.12	-0.2921503149635494	SNHG32
ENSG00000225210.9	0.2919186959070193	DUXAP9
