	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.215185613103551	LHFPL4
ENSG00000070019.4	1.1243346655937716	GUCY2C
ENSG00000048540.14	1.0401852897701696	LMO3
ENSG00000154162.14	-1.031757044683992	CDH12
ENSG00000255442.1	0.8819423280790226	Gene symbol not found
ENSG00000104044.15	-0.8508899584667023	OCA2
ENSG00000278318.4	-0.8120947964533867	ZNF229
ENSG00000244694.7	0.7573182954458327	PTCHD4
ENSG00000124253.10	-0.7566762912969813	PCK1
ENSG00000224810.1	-0.7555954885092576	Gene symbol not found
ENSG00000181690.7	-0.7151517763124008	PLAG1
ENSG00000246627.6	0.6829383990413523	
ENSG00000226057.6	0.6184829443123624	PHF2P2
ENSG00000114378.16	0.5866922757878111	HYAL1
ENSG00000267733.5	0.5794991211120282	Gene symbol not found
ENSG00000176998.4	0.5772253663587763	HCG4
ENSG00000180155.19	-0.5694564815555356	LYNX1
ENSG00000007372.21	0.569057235269936	PAX6
ENSG00000185008.17	-0.5544965632309333	ROBO2
ENSG00000229375.1	0.5459932300819398	USP24P1
ENSG00000112333.11	0.5433382160727505	NR2E1
ENSG00000207296.1	0.5410839938978818	RNU6-140P
ENSG00000176153.11	-0.5321911776983301	GPX2
ENSG00000271447.5	0.5304564540020695	MMP28
ENSG00000267508.5	-0.5107822615409761	ZNF285
ENSG00000261104.1	-0.5076160176530572	Gene symbol not found
ENSG00000110092.3	0.5069598032030517	CCND1
ENSG00000100321.14	-0.49969319818779356	SYNGR1
ENSG00000254043.1	-0.46478356671274024	Gene symbol not found
ENSG00000072818.11	0.45933941578046456	ACAP1
ENSG00000235961.5	-0.44454687223261946	PNMA6A
ENSG00000179151.11	-0.4435189558055609	EDC3
ENSG00000136378.14	0.4421469929496634	ADAMTS7
ENSG00000235903.7	-0.43336800330932795	CPB2-AS1
ENSG00000105520.10	-0.4290005072583969	PLPPR2
ENSG00000114405.10	-0.415473984007727	CEP15
ENSG00000164099.3	-0.4120918526276241	PRSS12
ENSG00000143320.8	0.401581116358948	CRABP2
ENSG00000172667.10	0.400233840478794	ZMAT3
ENSG00000112852.6	0.39812270646810954	PCDHB2
ENSG00000162722.8	0.3927436777630164	TRIM58
ENSG00000146521.9	0.3912595130528629	
ENSG00000163564.14	0.38871055398281174	PYHIN1
ENSG00000278937.1	-0.38156849847530366	
ENSG00000235933.1	0.3799597757386241	LINC01779
ENSG00000128311.13	0.3734373176703774	TST
ENSG00000184990.12	-0.3687879531018458	SIVA1
ENSG00000230587.1	0.36825621009128295	LINC02580
ENSG00000158023.9	0.36812303265788476	CFAP251
