	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5141993130391724	EYA4
ENSG00000048540.14	1.078533868342178	LMO3
ENSG00000268079.1	0.7263305329859555	BNIP3P30
ENSG00000178163.7	-0.6789263336521446	ZNF518B
ENSG00000008300.16	0.5125661470639469	CELSR3
ENSG00000255836.1	-0.49987363833805115	Gene symbol not found
ENSG00000277156.1	0.4995754211832264	TOMM40P1
ENSG00000198838.13	0.4825996403287285	RYR3
ENSG00000205213.13	-0.4411380111534853	LGR4
ENSG00000278530.4	0.4395066615524459	CHMP1B2P
ENSG00000244694.7	0.4233523865651386	PTCHD4
ENSG00000189233.11	0.4167693843601604	NUGGC
ENSG00000147231.13	0.41666228660996524	RADX
ENSG00000228526.6	0.4106895587568743	MIR34AHG
ENSG00000182168.14	0.3931780135919097	UNC5C
ENSG00000101405.3	-0.38755787717473594	OXT
ENSG00000207291.1	0.3854607613910494	RNU6-30P
ENSG00000141431.10	0.3811930564984009	ASXL3
ENSG00000180817.11	0.38013721605299267	PPA1
ENSG00000185090.14	0.3764010399074849	MANEAL
ENSG00000174292.12	0.36606723512588746	TNK1
ENSG00000118526.6	0.3659884793994079	TCF21
ENSG00000267374.1	-0.35574637086023975	MIR924HG
ENSG00000053438.8	-0.3550606793530993	NNAT
ENSG00000266236.1	0.35415502973746155	NARF-IT1
ENSG00000236536.1	-0.34884194190319767	Gene symbol not found
ENSG00000261340.1	-0.3465859780464654	LINC01616
ENSG00000101955.14	-0.34426185615995697	SRPX
ENSG00000271709.1	0.34383919861972506	Gene symbol not found
ENSG00000172247.3	-0.34104145942560354	C1QTNF4
ENSG00000255468.6	-0.33681962051975833	B4GAT1-DT
ENSG00000275322.1	-0.3344030207945008	Gene symbol not found
ENSG00000112599.8	0.3340847581288668	GUCA1B
ENSG00000250742.2	0.33311611027693083	LINC02381
ENSG00000160233.7	-0.32809582394729986	LRRC3
ENSG00000141576.14	0.32358997682846646	RNF157
ENSG00000165478.6	0.3192380819076924	HEPACAM
ENSG00000206052.10	-0.31895940606278417	DOK6
ENSG00000181036.13	0.31670741003235653	FCRL6
ENSG00000217330.1	0.3114458720138829	SSXP10
ENSG00000172667.10	0.30994140402794035	ZMAT3
ENSG00000131080.14	0.3082105482967444	EDA2R
ENSG00000101882.9	0.3056781621311161	NKAP
ENSG00000229901.1	0.30567622993319954	FOXO6-AS1
ENSG00000253958.1	-0.3014326965063749	CLDN23
ENSG00000163564.14	0.3003912442309427	PYHIN1
ENSG00000196878.14	-0.2991088683675918	LAMB3
ENSG00000262001.1	-0.29729976701989524	DLGAP1-AS2
ENSG00000112936.18	0.2956364517267528	C7
