	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7525486089797907	Gene symbol not found
ENSG00000177791.11	0.7078367746525953	MYOZ1
ENSG00000151136.14	-0.6762370797164609	ABTB3
ENSG00000228034.1	-0.6236105151372098	HMGN2P21
ENSG00000131080.14	0.6224147207493967	EDA2R
ENSG00000226816.2	-0.6109597205326933	Gene symbol not found
ENSG00000244694.7	0.5880792539114343	PTCHD4
ENSG00000102924.11	-0.5797875007810075	CBLN1
ENSG00000074211.13	-0.5666378864762439	PPP2R2C
ENSG00000244681.1	0.5540771465848318	MTHFD2P1
ENSG00000250337.5	0.5284281600104495	PURPL
ENSG00000234546.3	0.5075559870691131	LNCTAM34A
ENSG00000163898.9	0.49202116128814977	LIPH
ENSG00000138650.8	0.48454268636298875	PCDH10
ENSG00000222705.1	-0.4809746592962294	RN7SKP39
ENSG00000250241.5	0.4758618048316465	PCDH10-DT
ENSG00000133640.18	0.470970042834496	LRRIQ1
ENSG00000080224.17	0.46095514459938286	EPHA6
ENSG00000178075.19	0.4594696401211395	GRAMD1C
ENSG00000237978.5	0.45703352467170655	KCNMB2-AS1
ENSG00000171094.16	0.4324443069504913	ALK
ENSG00000111664.10	0.4300615049123212	GNB3
ENSG00000164695.4	-0.41525149505774805	CHMP4C
ENSG00000244306.10	0.415084945014008	DUXAP10
ENSG00000167766.18	-0.40413694740337924	ZNF83
ENSG00000235570.1	-0.40355969706888667	LINC00533
ENSG00000242173.8	0.40236689498115585	ARHGDIG
ENSG00000133816.13	0.39507649527417704	MICAL2
ENSG00000273356.1	0.3882147057798881	LINC02019
ENSG00000249738.8	-0.38643989811401636	Gene symbol not found
ENSG00000048540.14	0.38246455575944127	LMO3
ENSG00000181104.6	-0.37252499407911505	F2R
ENSG00000151746.13	-0.3721135943144745	BICD1
ENSG00000174326.11	-0.35603262757405524	SLC16A11
ENSG00000106302.9	0.3420176646286973	HYAL4
ENSG00000163453.11	-0.3366500946181307	IGFBP7
ENSG00000233613.5	0.33521162807031624	DCUN1D2-AS
ENSG00000228526.6	0.3277923716378669	MIR34AHG
ENSG00000186105.7	-0.32663118355522847	LRRC70
ENSG00000182492.15	-0.32025510727173334	BGN
ENSG00000228828.1	0.3186429073876251	TLK2P2
ENSG00000073060.15	0.31266164856628975	SCARB1
ENSG00000280234.1	0.31260760195460946	Gene symbol not found
ENSG00000259054.1	-0.3022838719109402	LINC02332
ENSG00000122176.10	-0.30042564312579845	FMOD
ENSG00000163071.10	0.2985130364994665	SPATA18
ENSG00000145246.13	-0.2984386155770909	ATP10D
ENSG00000102886.14	-0.29819564932913795	GDPD3
ENSG00000106686.16	-0.2958602490041384	SPATA6L
