	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2200238522668023	LHFPL4
ENSG00000070019.4	1.1140921786831623	GUCY2C
ENSG00000048540.14	1.0405405512868195	LMO3
ENSG00000154162.14	-1.0284024765706725	CDH12
ENSG00000255442.1	0.868997957790626	Gene symbol not found
ENSG00000104044.15	-0.8292484708167345	OCA2
ENSG00000278318.4	-0.8072176916788093	ZNF229
ENSG00000224810.1	-0.7887502851273341	Gene symbol not found
ENSG00000124253.10	-0.757546188515556	PCK1
ENSG00000244694.7	0.745631229424543	PTCHD4
ENSG00000181690.7	-0.7150810077794019	PLAG1
ENSG00000246627.6	0.7013661373834308	
ENSG00000226057.6	0.6220927612052274	PHF2P2
ENSG00000114378.16	0.5895899008011737	HYAL1
ENSG00000007372.21	0.5851872803396866	PAX6
ENSG00000180155.19	-0.5739382448580711	LYNX1
ENSG00000267733.5	0.5729267205161604	Gene symbol not found
ENSG00000176998.4	0.5726165603279827	HCG4
ENSG00000185008.17	-0.5561944520936093	ROBO2
ENSG00000207296.1	0.5503784015579486	RNU6-140P
ENSG00000112333.11	0.5330700801132846	NR2E1
ENSG00000271447.5	0.5301608249894647	MMP28
ENSG00000176153.11	-0.5290728693525263	GPX2
ENSG00000229375.1	0.5241759476794683	USP24P1
ENSG00000110092.3	0.5147804144388735	CCND1
ENSG00000100321.14	-0.5094372128989093	SYNGR1
ENSG00000267508.5	-0.5092040469117615	ZNF285
ENSG00000261104.1	-0.5006677346289452	Gene symbol not found
ENSG00000072818.11	0.46591802333912646	ACAP1
ENSG00000254043.1	-0.4534696515505936	Gene symbol not found
ENSG00000179151.11	-0.4504884831956274	EDC3
ENSG00000105520.10	-0.44727040825057296	PLPPR2
ENSG00000235961.5	-0.4422208453008011	PNMA6A
ENSG00000136378.14	0.43942903354997137	ADAMTS7
ENSG00000235903.7	-0.4269299260948946	CPB2-AS1
ENSG00000114405.10	-0.42187936231988854	CEP15
ENSG00000112852.6	0.4159676088125123	PCDHB2
ENSG00000164099.3	-0.4106211597206947	PRSS12
ENSG00000235933.1	0.4083176684348857	LINC01779
ENSG00000172667.10	0.3996151775485661	ZMAT3
ENSG00000143320.8	0.39009319781959173	CRABP2
ENSG00000163564.14	0.38675162338102287	PYHIN1
ENSG00000278937.1	-0.3862901844842416	
ENSG00000146521.9	0.3862109173927995	
ENSG00000128311.13	0.3760186016538213	TST
ENSG00000162722.8	0.37363736968533584	TRIM58
ENSG00000184990.12	-0.3706745839306529	SIVA1
ENSG00000230587.1	0.36733828256299605	LINC02580
ENSG00000158023.9	0.36644771464048737	CFAP251
