	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.4016095089136784	ACER2P1
ENSG00000244694.7	0.3312187144425622	PTCHD4
ENSG00000252719.1	-0.3253926437909719	Gene symbol not found
ENSG00000185088.13	0.31918845254491357	RPS27L
ENSG00000252591.1	-0.3107136649697762	RNA5SP468
ENSG00000131080.14	0.30980792057261886	EDA2R
ENSG00000173535.13	0.2825300451138943	TNFRSF10C
ENSG00000117594.9	0.27329132266531414	HSD11B1
ENSG00000213816.3	-0.26443588131253554	CNN2P4
ENSG00000255492.1	-0.2635274513645657	H3P33
ENSG00000260255.1	-0.25198872996537636	Gene symbol not found
ENSG00000202272.1	-0.24733916266963424	Y_RNA
ENSG00000232139.5	-0.24433842364483585	LINC00867
ENSG00000269526.1	-0.234803973983508	ERVV-1
ENSG00000278698.1	-0.23428663335376773	Gene symbol not found
ENSG00000236136.1	0.2270612526961585	ADORA2BP1
ENSG00000134574.11	0.22699889767038947	DDB2
ENSG00000280436.1	-0.22274630965802406	Gene symbol not found
ENSG00000235623.2	-0.21930761510657484	OR7E110P
ENSG00000203531.3	-0.2192359548408692	Gene symbol not found
ENSG00000216977.1	0.21773207442962292	RPL21P65
ENSG00000243539.3	-0.20398123722386158	RN7SL649P
ENSG00000232939.1	-0.20077264088221464	Gene symbol not found
ENSG00000255489.1	-0.19950277117104434	Gene symbol not found
ENSG00000237978.5	0.1982563076042544	KCNMB2-AS1
ENSG00000268994.3	-0.19757864493061286	FAM236B
ENSG00000270900.1	-0.18939875025748099	NUDT19P4
ENSG00000177770.11	-0.1857957062023072	CDKN2AIPNLP1
ENSG00000252778.1	-0.18511940420360473	Gene symbol not found
ENSG00000100593.17	-0.1830028194153852	ISM2
ENSG00000251874.1	-0.18180313641430507	RNU6-615P
ENSG00000228162.1	-0.18159550202176095	Gene symbol not found
ENSG00000252919.1	-0.17997248222102188	Y_RNA
ENSG00000234913.1	-0.17811896452803264	Gene symbol not found
ENSG00000279954.1	-0.17791158504365726	Gene symbol not found
ENSG00000253305.2	-0.17734951626767906	PCDHGB6
ENSG00000235151.1	-0.17195650157000714	Gene symbol not found
ENSG00000267289.1	-0.17155146943596972	PIN1-DT
ENSG00000226320.5	-0.17108802704512965	LINC01811
ENSG00000178163.7	-0.16776066799015024	ZNF518B
ENSG00000173451.6	-0.16755581278582612	THAP2
ENSG00000236886.2	-0.16228505345839245	
ENSG00000240423.1	-0.16140393751185525	LINC00636
ENSG00000273568.1	0.1587803694142569	Gene symbol not found
ENSG00000268866.1	-0.15825686921831147	Gene symbol not found
ENSG00000278200.1	-0.15771512719078395	LINC01971
ENSG00000180662.8	-0.15691955429512766	RPL21P8
ENSG00000254251.1	0.15656614944114844	Gene symbol not found
ENSG00000113494.16	-0.1565535086879597	PRLR
ENSG00000272969.1	-0.15655264651978	Gene symbol not found
