	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4230673974470216	ZNF518B
ENSG00000104722.13	-1.7076040686532121	NEFM
ENSG00000185010.13	1.566656958677446	F8
ENSG00000260015.1	1.4317330860475455	Gene symbol not found
ENSG00000166262.15	-1.190471496882438	FAM227B
ENSG00000159212.12	-1.0867202240483576	CLIC6
ENSG00000148082.9	0.9950067940417548	SHC3
ENSG00000224945.1	0.9784579287187215	Gene symbol not found
ENSG00000206195.10	0.9740283924295632	DUXAP8
ENSG00000255408.3	0.9322472389304755	PCDHA3
ENSG00000106341.10	0.9125953753320962	PPP1R17
ENSG00000119973.5	0.9042823594616971	PRLHR
ENSG00000258628.1	0.8877535306587412	RHPN2P1
ENSG00000147889.17	0.8752808005954885	CDKN2A
ENSG00000204176.13	-0.863866378678858	SYT15
ENSG00000244694.7	0.8298923898731433	PTCHD4
ENSG00000183770.5	0.7674043252197787	FOXL2
ENSG00000255836.1	-0.7562245451148518	Gene symbol not found
ENSG00000229020.4	0.6958724934805874	AKR7A2P1
ENSG00000265366.6	0.689290513194783	GLUD1P2
ENSG00000143355.15	0.6887563868108911	LHX9
ENSG00000088882.7	-0.66772782749021	CPXM1
ENSG00000163071.10	0.6097477509913689	SPATA18
ENSG00000281205.1	-0.6078726823308357	
ENSG00000213225.7	-0.5702352090029498	NOC2LP1
ENSG00000147027.3	0.5666118255029284	TMEM47
ENSG00000102796.10	-0.5506925565301222	DHRS12
ENSG00000214754.3	-0.4711252982959778	SRSF8CP
ENSG00000100867.14	0.4575180609922842	DHRS2
ENSG00000131080.14	0.4348496459023486	EDA2R
ENSG00000198804.2	-0.4050750160341386	MT-CO1
ENSG00000240401.8	0.3945372727599856	
ENSG00000250218.1	0.36235832033568116	ALDH1L1-AS1
ENSG00000235268.2	-0.3596538815256568	KDM4E
ENSG00000236833.1	0.33843652822866993	Gene symbol not found
ENSG00000275560.1	0.33607721800014506	
ENSG00000272674.3	0.3114164815484399	PCDHB16
ENSG00000204969.6	0.30408657466446304	PCDHA2
ENSG00000188011.5	-0.24221654379240665	RTP5
ENSG00000173947.13	-0.2543687933085679	CIMAP3
ENSG00000200769.1	-0.24735347297457558	Y_RNA
ENSG00000255158.1	-0.24217044806304366	Gene symbol not found
ENSG00000184378.2	-0.20934760429077154	ACTRT3
ENSG00000054598.6	0.18189348791031384	FOXC1
ENSG00000124203.6	0.1764818874991576	ZNF831
ENSG00000100196.10	-0.157237441661193	KDELR3
ENSG00000272872.1	0.09180759879505643	
ENSG00000074410.13	-0.034339368149481984	CA12
ENSG00000167281.18	-0.08859850308077799	RBFOX3
