	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7605264671184602	Gene symbol not found
ENSG00000177791.11	0.705913320579698	MYOZ1
ENSG00000151136.14	-0.6713188668325676	ABTB3
ENSG00000228034.1	-0.6151817788006488	HMGN2P21
ENSG00000131080.14	0.6077049944111419	EDA2R
ENSG00000226816.2	-0.6027022155955633	Gene symbol not found
ENSG00000102924.11	-0.5786958298069277	CBLN1
ENSG00000244694.7	0.5726323308455814	PTCHD4
ENSG00000074211.13	-0.5576962656942993	PPP2R2C
ENSG00000244681.1	0.552696789248522	MTHFD2P1
ENSG00000250337.5	0.5318465883962491	PURPL
ENSG00000234546.3	0.5102100123323253	LNCTAM34A
ENSG00000250241.5	0.4863781602434809	PCDH10-DT
ENSG00000138650.8	0.4825040990478997	PCDH10
ENSG00000163898.9	0.47779984593772507	LIPH
ENSG00000222705.1	-0.4776939362111392	RN7SKP39
ENSG00000237978.5	0.46887391830421926	KCNMB2-AS1
ENSG00000080224.17	0.46085786380774796	EPHA6
ENSG00000133640.18	0.4566242783217665	LRRIQ1
ENSG00000178075.19	0.44992431918114617	GRAMD1C
ENSG00000171094.16	0.4395220775165443	ALK
ENSG00000164695.4	-0.42642945335077687	CHMP4C
ENSG00000111664.10	0.42404656728201384	GNB3
ENSG00000235570.1	-0.40958265560379475	LINC00533
ENSG00000244306.10	0.4058026776318962	DUXAP10
ENSG00000242173.8	0.3947947825718464	ARHGDIG
ENSG00000167766.18	-0.3909222919929212	ZNF83
ENSG00000133816.13	0.3901589297235013	MICAL2
ENSG00000181104.6	-0.3801662484574128	F2R
ENSG00000048540.14	0.379213989226173	LMO3
ENSG00000249738.8	-0.3723442018215404	Gene symbol not found
ENSG00000273356.1	0.3702890701708591	LINC02019
ENSG00000151746.13	-0.3631722521421027	BICD1
ENSG00000174326.11	-0.34967068949467534	SLC16A11
ENSG00000106302.9	0.3406785590580498	HYAL4
ENSG00000163453.11	-0.3342392861442013	IGFBP7
ENSG00000233613.5	0.31859150825352917	DCUN1D2-AS
ENSG00000228526.6	0.3182471361707625	MIR34AHG
ENSG00000182492.15	-0.3178265699444068	BGN
ENSG00000186105.7	-0.31729927276766706	LRRC70
ENSG00000228828.1	0.31402971512997174	TLK2P2
ENSG00000259054.1	-0.3038516238981235	LINC02332
ENSG00000073060.15	0.3004643649035945	SCARB1
ENSG00000145246.13	-0.29866285649812413	ATP10D
ENSG00000102886.14	-0.2953926831445887	GDPD3
ENSG00000225210.9	0.29510165507933844	DUXAP9
ENSG00000280234.1	0.29397512576142926	Gene symbol not found
ENSG00000122176.10	-0.29376700474920425	FMOD
ENSG00000163071.10	0.29230066033618574	SPATA18
