	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.15202628414534727	0.5458969287757941			0.5726158940452576	0.42426092865114146	0.3907570626794323	0.7573182954458327	0.3637576868701197	0.38170640487188606	0.8591382384763991	PTCHD4
ENSG00000131080.14				0.24902771485869454		0.6094506484688911	0.3130623352112017	0.6958225626276889		0.38890213176766897	0.26851864091371913	0.399655874221376	EDA2R
ENSG00000244681.1		0.14581741327111372				0.5616889987532842		0.4409086293157244		0.36704772708146927	0.2557541809979262		MTHFD2P1
ENSG00000048540.14		0.12982492923689581	0.6144350745329201			0.38271726723441146	1.0813245528711926		1.0401852897701696				LMO3
ENSG00000228526.6				0.15649596371647587		0.3251719240902095	0.4135081817342219				0.40000671207959665		MIR34AHG
ENSG00000178163.7							-0.6944826668418069	-0.7393868360602908		-0.3834165126324108		-2.428203156930162	ZNF518B
ENSG00000081803.15		0.2072728797681093	0.37593819290509156								0.17221196577914238		CADPS2
ENSG00000278530.4		0.11120743506898867					0.4520611242755007				0.16296556775634893		CHMP1B2P
ENSG00000255836.1				-0.1977446125083727			-0.49694703248052835					-0.7431417132755846	Gene symbol not found
ENSG00000163071.10				0.1658342941561044		0.297226104465427						0.6270616534431147	SPATA18
ENSG00000250337.5						0.5311312634610077				0.18703780833126407	0.2646511112774249		PURPL
ENSG00000112319.17							1.5107518446546986			0.22853842736266045	0.4123665662091403		EYA4
ENSG00000172667.10							0.3109673798972987		0.400233840478794	0.21244142977514985			ZMAT3
ENSG00000163564.14							0.30458539677636		0.38871055398281174	0.31619353845518683			PYHIN1
ENSG00000147889.17								0.6018960236910454			0.2982672397518294	0.8765718245731171	CDKN2A
ENSG00000196109.6								0.2968260846718496		0.3887387693067647	0.17765594718216637		ZNF676
