	Coef_liver	Gene_name
ENSG00000242573.1	-0.3719449928910134	ACTR3P3
ENSG00000114631.10	-0.31148527660826403	PODXL2
ENSG00000219702.1	-0.30834799038171284	Gene symbol not found
ENSG00000261570.1	-0.2847685696804783	AGK-DT
ENSG00000222426.1	-0.27189803972165194	RNU2-50P
ENSG00000271209.1	0.25802679225974456	BRDTP1
ENSG00000259326.1	0.2574784220884654	Gene symbol not found
ENSG00000254345.1	-0.24524645777761772	IGKV2D-23
ENSG00000256436.1	0.24254902206555148	TAS2R31
ENSG00000253604.1	-0.23948302753465864	Gene symbol not found
ENSG00000226703.1	-0.23831805326985867	NPM1P4
ENSG00000235118.7	-0.2249578463871628	FAM237A
ENSG00000283205.1	-0.22469794384221695	Gene symbol not found
ENSG00000228262.8	0.220223421540767	LINC01320
ENSG00000283288.1	-0.21990125119447812	SMIM33
ENSG00000260877.2	0.21794290685355067	Gene symbol not found
ENSG00000237631.2	0.20832040739457255	PARK7P2
ENSG00000231066.3	-0.20765236796749748	NPM1P9
ENSG00000238835.1	-0.20746245053092086	SCARNA18
ENSG00000250480.3	-0.20305121384968175	RLIG1P1
ENSG00000248647.2	0.20168267659870917	Gene symbol not found
ENSG00000264685.1	-0.19939592879192644	PRPF19P1
ENSG00000227240.1	0.19710218175140845	Gene symbol not found
ENSG00000103200.6	-0.19633875675422435	Gene symbol not found
ENSG00000283098.1	0.19568101674547703	Gene symbol not found
ENSG00000233057.1	0.19554100237673983	EEF1A1P14
ENSG00000108417.3	-0.19444615205730528	KRT37
ENSG00000273989.1	0.1888639092180582	Gene symbol not found
ENSG00000214185.3	-0.18754846014534285	XPOTP1
ENSG00000159247.13	0.18597080006478015	TUBBP5
ENSG00000259845.1	-0.18580738395789603	HERC2P10
ENSG00000255147.1	-0.18426505498224008	EVA1CP4
ENSG00000231849.1	-0.18141688206073917	UBE2V2P4
ENSG00000239958.3	-0.17947736054945984	RN7SL51P
ENSG00000205220.11	-0.17848628633563982	PSMB10
ENSG00000236062.1	0.17793104080979638	GSTM5P1
ENSG00000152977.9	0.1775741866493602	ZIC1
ENSG00000180855.15	0.17695683265048176	ZNF443
ENSG00000225370.1	-0.17543180792577848	Gene symbol not found
ENSG00000254106.1	-0.17372468376409875	LINC01848
ENSG00000102053.12	0.17114604366784983	ZC3H12B
ENSG00000284242.1	-0.17094184930299347	Gene symbol not found
ENSG00000227814.3	0.17046115581314736	MRPS17P9
ENSG00000277474.1	-0.1696152968290024	MIR6894
ENSG00000272275.1	-0.1677307877762455	Gene symbol not found
ENSG00000150873.11	-0.16509692917711152	C2orf50
ENSG00000179873.14	0.1641053459273196	NLRP11
ENSG00000188738.14	0.16254465733671358	FSIP2
ENSG00000081800.8	-0.16176912719636255	SLC13A1
ENSG00000171747.8	0.1609837974299091	LGALS4
