	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.20820738887907342	CADPS2
ENSG00000126878.12	-0.15492409428333345	AIF1L
ENSG00000244694.7	0.15407304020134255	PTCHD4
ENSG00000168779.19	0.15028386308464747	SHOX2
ENSG00000244681.1	0.14905177315865595	MTHFD2P1
ENSG00000185272.13	0.14599652945227065	RBM11
ENSG00000281706.2	-0.14563710530817356	LINC01012
ENSG00000232860.7	-0.14448661057578754	SMG7-AS1
ENSG00000186472.19	0.1425367630520189	PCLO
ENSG00000261786.1	-0.13982902271455483	Gene symbol not found
ENSG00000082556.10	-0.13622853919827088	OPRK1
ENSG00000064205.10	0.13421873435441864	CCN5
ENSG00000151474.21	-0.13287381035691015	FRMD4A
ENSG00000048540.14	0.12790578984621553	LMO3
ENSG00000196090.12	-0.12711653324343633	PTPRT
ENSG00000050555.17	-0.1260873434805982	LAMC3
ENSG00000258695.2	0.12428751352198397	Gene symbol not found
ENSG00000266050.2	-0.12294690754458322	Gene symbol not found
ENSG00000072041.16	0.12216329341366636	SLC6A15
ENSG00000267504.1	0.1198669870098424	Gene symbol not found
ENSG00000206828.1	-0.11764725908078748	RNVU1-30
ENSG00000254585.2	-0.11610906929932338	MAGEL2
ENSG00000198732.10	-0.11551706559606742	SMOC1
ENSG00000137968.16	-0.11470423036538606	SLC44A5
ENSG00000278530.4	0.1141908379885063	CHMP1B2P
ENSG00000273036.2	0.11269571597427916	CYP4F33P
ENSG00000151948.11	-0.11216062938971179	GLT1D1
ENSG00000215529.12	0.11121439264405371	EFCAB8
ENSG00000258675.1	-0.1087910225352774	LINC02308
ENSG00000165325.13	0.10845641991027148	DEUP1
ENSG00000184500.14	0.10632638582026308	PROS1
ENSG00000231784.8	-0.10572291105255273	DBIL5P
ENSG00000239268.2	-0.10544510293263801	LINC03051
ENSG00000188191.14	-0.10439682969788705	PRKAR1B
ENSG00000179083.6	0.10295362099617894	FAM133A
ENSG00000086717.18	0.10288316747885881	PPEF1
ENSG00000250361.7	0.10278786393135916	GYPB
ENSG00000276107.1	0.102228259152593	THBS1-IT1
ENSG00000230267.7	-0.1020165232384438	HERC2P4
ENSG00000171403.9	-0.10177756616956234	KRT9
ENSG00000280435.1	-0.10089948101158756	Gene symbol not found
ENSG00000236155.6	-0.1007651421298887	ZPLD2P
ENSG00000176049.15	0.09942691560487564	JAKMIP2
ENSG00000167693.16	-0.09884756379053608	NXN
ENSG00000273203.1	0.09830699626030273	
ENSG00000067221.13	0.09787673189644779	STOML1
ENSG00000249693.2	0.09713085434809063	SPMAP2L
ENSG00000233163.1	0.09679024392909476	RPS12P17
ENSG00000162738.5	-0.09607108683081333	VANGL2
ENSG00000215105.4	0.09582430426058101	TTC3P1
