	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.208227801350966	LHFPL4
ENSG00000070019.4	1.1270554358583675	GUCY2C
ENSG00000048540.14	1.023272751746689	LMO3
ENSG00000154162.14	-1.008982765509356	CDH12
ENSG00000255442.1	0.8859468455744474	Gene symbol not found
ENSG00000104044.15	-0.8417324472064427	OCA2
ENSG00000278318.4	-0.8138284760226364	ZNF229
ENSG00000124253.10	-0.7694103636488017	PCK1
ENSG00000224810.1	-0.7600292767311215	Gene symbol not found
ENSG00000244694.7	0.7547652843981076	PTCHD4
ENSG00000181690.7	-0.7149939173821686	PLAG1
ENSG00000246627.6	0.6967632827238166	
ENSG00000226057.6	0.6183201216770433	PHF2P2
ENSG00000114378.16	0.5897281619046041	HYAL1
ENSG00000267733.5	0.5870321417908096	Gene symbol not found
ENSG00000180155.19	-0.5707601589940539	LYNX1
ENSG00000007372.21	0.5665947405229135	PAX6
ENSG00000176998.4	0.5661873467449	HCG4
ENSG00000185008.17	-0.5592424459517454	ROBO2
ENSG00000112333.11	0.5457591734478928	NR2E1
ENSG00000207296.1	0.5395087515341214	RNU6-140P
ENSG00000271447.5	0.5380594675820676	MMP28
ENSG00000176153.11	-0.5274217404464883	GPX2
ENSG00000229375.1	0.5238754150711854	USP24P1
ENSG00000267508.5	-0.5160885190239846	ZNF285
ENSG00000110092.3	0.5129512020472022	CCND1
ENSG00000100321.14	-0.4966269422871032	SYNGR1
ENSG00000261104.1	-0.4933817829648072	Gene symbol not found
ENSG00000072818.11	0.45956628983286557	ACAP1
ENSG00000254043.1	-0.4506642369453199	Gene symbol not found
ENSG00000179151.11	-0.4431981510226073	EDC3
ENSG00000105520.10	-0.4406406735167992	PLPPR2
ENSG00000136378.14	0.43069227058516985	ADAMTS7
ENSG00000235903.7	-0.42993297670742703	CPB2-AS1
ENSG00000235961.5	-0.4267661947636813	PNMA6A
ENSG00000114405.10	-0.4197943279071638	CEP15
ENSG00000112852.6	0.41906574066737046	PCDHB2
ENSG00000164099.3	-0.4188693525057846	PRSS12
ENSG00000172667.10	0.40513547219830137	ZMAT3
ENSG00000143320.8	0.4023424030508387	CRABP2
ENSG00000163564.14	0.39556217096777063	PYHIN1
ENSG00000162722.8	0.39130947921632225	TRIM58
ENSG00000278937.1	-0.3898523152493053	
ENSG00000146521.9	0.38916113087616405	
ENSG00000235933.1	0.3855268569457678	LINC01779
ENSG00000128311.13	0.37467768459354417	TST
ENSG00000184990.12	-0.3743450806543454	SIVA1
ENSG00000158023.9	0.3633184616879512	CFAP251
ENSG00000181061.13	0.35982498747914193	HIGD1A
