	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.41076150886326784	EYA4
ENSG00000228526.6	0.4008337329582529	MIR34AHG
ENSG00000244694.7	0.37845563078608546	PTCHD4
ENSG00000170049.9	-0.3452862169134666	KCNAB3
ENSG00000147889.17	0.29797994863255445	CDKN2A
ENSG00000248799.1	-0.2979599370020718	Gene symbol not found
ENSG00000138829.11	-0.26738899715595477	FBN2
ENSG00000131080.14	0.26709066373460033	EDA2R
ENSG00000250337.5	0.26490756200043264	PURPL
ENSG00000200036.1	-0.2623569330944411	RNA5SP65
ENSG00000227708.1	-0.2551037513763838	LINC01850
ENSG00000270212.1	-0.2545803337868233	Gene symbol not found
ENSG00000244681.1	0.25257188738825603	MTHFD2P1
ENSG00000237438.7	0.2429069491999874	CECR7
ENSG00000281937.1	0.22001541477076025	
ENSG00000227704.1	-0.21212722656583613	Gene symbol not found
ENSG00000064655.18	0.20461231013343578	EYA2
ENSG00000206195.10	0.20331889216502938	DUXAP8
ENSG00000273455.1	0.2002027568483838	Gene symbol not found
ENSG00000225511.6	0.19365609879175538	LINC00475
ENSG00000224988.1	-0.19219389220307653	Gene symbol not found
ENSG00000168828.5	0.19087143451941097	OR13J1
ENSG00000162639.15	-0.1855894486600996	HENMT1
ENSG00000255159.1	-0.18489731287373137	DENND2B-AS1
ENSG00000198807.12	0.18298749053661567	PAX9
ENSG00000267282.1	0.18249753818287698	Gene symbol not found
ENSG00000233254.1	0.18006783993408282	RPL21P134
ENSG00000217004.1	-0.1794012243830353	Gene symbol not found
ENSG00000223284.1	-0.1792610431498342	RNU6-195P
ENSG00000273604.1	-0.17920402798436266	EPOP
ENSG00000196109.6	0.1791911723851891	ZNF676
ENSG00000081803.15	0.17356701922067216	CADPS2
ENSG00000168779.19	0.1716820726109225	SHOX2
ENSG00000269947.1	-0.17151047628501895	Gene symbol not found
ENSG00000278530.4	0.1644813054741378	CHMP1B2P
ENSG00000272922.1	0.16353991044315527	
ENSG00000213225.7	-0.16315240241809476	NOC2LP1
ENSG00000111339.10	0.16298567508050538	ART4
ENSG00000268079.1	0.16121032672863794	BNIP3P30
ENSG00000255408.3	0.1589892362807477	PCDHA3
ENSG00000231952.3	-0.1588675922767585	DPY19L1P2
ENSG00000164109.13	-0.15805633461582563	MAD2L1
ENSG00000237512.6	0.1576032450559977	UNC5B-AS1
ENSG00000249973.2	0.15698351709607694	CHCHD2P7
ENSG00000130943.6	-0.15604212322815283	PKDREJ
ENSG00000226925.1	-0.15532844631445827	IL1R1-AS1
ENSG00000279067.1	0.15458122269253813	Gene symbol not found
ENSG00000260304.1	0.15244320546811743	Gene symbol not found
ENSG00000198963.10	0.15055657255162583	RORB
