	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.4942644584658558	EYA4
ENSG00000048540.14	1.0908742077220692	LMO3
ENSG00000268079.1	0.7086243544040361	BNIP3P30
ENSG00000178163.7	-0.7043775493825677	ZNF518B
ENSG00000008300.16	0.514369047063304	CELSR3
ENSG00000255836.1	-0.49877885487872586	Gene symbol not found
ENSG00000277156.1	0.48723935579942906	TOMM40P1
ENSG00000198838.13	0.4728051797057718	RYR3
ENSG00000205213.13	-0.4541123761518628	LGR4
ENSG00000278530.4	0.4432693622707421	CHMP1B2P
ENSG00000244694.7	0.42774211409057905	PTCHD4
ENSG00000189233.11	0.41984052798056953	NUGGC
ENSG00000228526.6	0.407290202590314	MIR34AHG
ENSG00000147231.13	0.404994572039081	RADX
ENSG00000207291.1	0.3941556088559545	RNU6-30P
ENSG00000182168.14	0.3882334397477423	UNC5C
ENSG00000101405.3	-0.38802728679822834	OXT
ENSG00000180817.11	0.3823854958673685	PPA1
ENSG00000174292.12	0.3817116171667175	TNK1
ENSG00000185090.14	0.3803511882212159	MANEAL
ENSG00000141431.10	0.3790165334291449	ASXL3
ENSG00000118526.6	0.3677550426212209	TCF21
ENSG00000266236.1	0.365325817366194	NARF-IT1
ENSG00000271709.1	0.35544952213435116	Gene symbol not found
ENSG00000053438.8	-0.35005483731885567	NNAT
ENSG00000255468.6	-0.34895319140637765	B4GAT1-DT
ENSG00000267374.1	-0.34770238117453056	MIR924HG
ENSG00000236536.1	-0.34251935616277085	Gene symbol not found
ENSG00000101955.14	-0.33333190680659514	SRPX
ENSG00000261340.1	-0.3319904128278155	LINC01616
ENSG00000172247.3	-0.3300121538617713	C1QTNF4
ENSG00000250742.2	0.329978730366005	LINC02381
ENSG00000112599.8	0.32843012381863795	GUCA1B
ENSG00000206052.10	-0.3243570781015161	DOK6
ENSG00000165478.6	0.32352909011069053	HEPACAM
ENSG00000181036.13	0.32290054232447357	FCRL6
ENSG00000275322.1	-0.3223631912558065	Gene symbol not found
ENSG00000217330.1	0.32034065446523674	SSXP10
ENSG00000141576.14	0.3188167996500378	RNF157
ENSG00000131080.14	0.31414624927457035	EDA2R
ENSG00000160233.7	-0.30961642302128867	LRRC3
ENSG00000196878.14	-0.30656527013135626	LAMB3
ENSG00000172667.10	0.3051983380855109	ZMAT3
ENSG00000131771.13	-0.3039860041607947	PPP1R1B
ENSG00000262001.1	-0.3023349709061736	DLGAP1-AS2
ENSG00000101882.9	0.3019367768480957	NKAP
ENSG00000263335.1	0.3014602693347789	Gene symbol not found
ENSG00000229901.1	0.2985824658707039	FOXO6-AS1
ENSG00000253958.1	-0.29832424734839724	CLDN23
