	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2835197608660271	VENTX
ENSG00000131080.14	0.25099698032465345	EDA2R
ENSG00000252581.1	0.24583641372020598	RNU6-1098P
ENSG00000208005.1	-0.23134020792272006	MIR503
ENSG00000267544.1	-0.2089547849919805	HIKESHIP2
ENSG00000255836.1	-0.2066680441803623	Gene symbol not found
ENSG00000233429.9	0.19183089465321607	HOTAIRM1
ENSG00000197376.2	0.19043919616363053	Gene symbol not found
ENSG00000187013.4	0.1840492087968615	LINC02875
ENSG00000259124.1	-0.1787918472723811	Gene symbol not found
ENSG00000088836.12	0.17815862709344762	SLC4A11
ENSG00000267773.1	-0.17197397131614853	Gene symbol not found
ENSG00000207186.1	0.17140700983067172	RNA5SP122
ENSG00000259792.1	0.17045814309669935	Gene symbol not found
ENSG00000267799.1	-0.16604322243008168	MAN1A2P1
ENSG00000280710.2	-0.1637507427373882	
ENSG00000163071.10	0.16231418854828036	SPATA18
ENSG00000173908.8	-0.1608727285420448	KRT28
ENSG00000228526.6	0.1601614295694691	MIR34AHG
ENSG00000278318.4	-0.1590669885238483	ZNF229
ENSG00000230453.9	0.15690983326258745	ANKRD18B
ENSG00000248476.1	-0.15628313594762996	BACH1-IT1
ENSG00000274904.1	-0.1554821810591401	Gene symbol not found
ENSG00000172426.15	-0.1494195063227177	RSPH9
ENSG00000202517.1	-0.149073329527814	Gene symbol not found
ENSG00000254294.1	-0.1448982908174562	IMPDH1P6
ENSG00000214121.4	-0.14446082931751683	PRDX1P1
ENSG00000277697.1	-0.143506273170714	
ENSG00000283377.1	-0.14237233034523739	Gene symbol not found
ENSG00000248646.1	-0.1411928644400658	
ENSG00000255794.7	0.14055963559307513	RMST
ENSG00000230931.2	-0.1403270615138793	GXYLT1P1
ENSG00000259742.1	-0.140285869542865	Gene symbol not found
ENSG00000162722.8	-0.13935751032787572	TRIM58
ENSG00000168418.7	0.13917527574800556	KCNG4
ENSG00000244308.2	-0.13907536629369058	RN7SL762P
ENSG00000236380.5	-0.13904269768518954	VENTXP7
ENSG00000273687.1	0.13890285650664677	Gene symbol not found
ENSG00000276556.1	-0.13860633357839477	Gene symbol not found
ENSG00000258550.1	-0.13820930642580057	OR7E106P
ENSG00000164399.4	-0.1371023802968254	IL3
ENSG00000196862.9	-0.13658076171068173	RGPD4
ENSG00000207010.1	-0.13294545091175577	RNU6-318P
ENSG00000225075.1	0.13354238108079938	Gene symbol not found
ENSG00000172680.1	-0.13343740109897173	MOS
ENSG00000224566.2	-0.13208215157014905	CIAO2AP2
ENSG00000253642.5	0.130804851793744	Gene symbol not found
ENSG00000178343.4	0.13051032821665434	SHISA3
ENSG00000120289.11	-0.12694184400319025	MAGEB4
ENSG00000134982.16	-0.12397527259860314	APC
