	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.4133644866289349	EYA4
ENSG00000228526.6	0.3992960593812751	MIR34AHG
ENSG00000244694.7	0.3830128837912785	PTCHD4
ENSG00000170049.9	-0.341701775593679	KCNAB3
ENSG00000248799.1	-0.2988309791777756	Gene symbol not found
ENSG00000147889.17	0.2937955821731281	CDKN2A
ENSG00000138829.11	-0.26941204781197364	FBN2
ENSG00000131080.14	0.2673729777895955	EDA2R
ENSG00000250337.5	0.2621249072116508	PURPL
ENSG00000270212.1	-0.26006489816699585	Gene symbol not found
ENSG00000200036.1	-0.2524324556901084	RNA5SP65
ENSG00000244681.1	0.25235512042999264	MTHFD2P1
ENSG00000227708.1	-0.25126483647418985	LINC01850
ENSG00000237438.7	0.24062241228063827	CECR7
ENSG00000281937.1	0.2226315699630322	
ENSG00000227704.1	-0.21499683454676144	Gene symbol not found
ENSG00000064655.18	0.2047981831406724	EYA2
ENSG00000206195.10	0.19887420236428438	DUXAP8
ENSG00000225511.6	0.19734842430976926	LINC00475
ENSG00000273455.1	0.19419820269269294	Gene symbol not found
ENSG00000168828.5	0.19038209787404353	OR13J1
ENSG00000224988.1	-0.18861723838505182	Gene symbol not found
ENSG00000267282.1	0.18247877928231734	Gene symbol not found
ENSG00000255159.1	-0.18111566807644497	DENND2B-AS1
ENSG00000162639.15	-0.17995977858497575	HENMT1
ENSG00000198807.12	0.1798336744592388	PAX9
ENSG00000273604.1	-0.17951844433462857	EPOP
ENSG00000233254.1	0.17815524282351303	RPL21P134
ENSG00000217004.1	-0.17611122495595902	Gene symbol not found
ENSG00000196109.6	0.17579789103454574	ZNF676
ENSG00000223284.1	-0.17497720218149843	RNU6-195P
ENSG00000269947.1	-0.17256289894409818	Gene symbol not found
ENSG00000081803.15	0.17083545111472223	CADPS2
ENSG00000168779.19	0.16634015638105673	SHOX2
ENSG00000278530.4	0.16442610648956382	CHMP1B2P
ENSG00000272922.1	0.16353321873233273	
ENSG00000111339.10	0.16267672231657151	ART4
ENSG00000231952.3	-0.16252251134331852	DPY19L1P2
ENSG00000213225.7	-0.1612022584500911	NOC2LP1
ENSG00000268079.1	0.16092651188714968	BNIP3P30
ENSG00000226925.1	-0.1605860939591306	IL1R1-AS1
ENSG00000255408.3	0.15802759999116414	PCDHA3
ENSG00000164109.13	-0.15733345795154344	MAD2L1
ENSG00000130943.6	-0.15530485450003878	PKDREJ
ENSG00000249973.2	0.1546567889044804	CHCHD2P7
ENSG00000237512.6	0.15459713680114856	UNC5B-AS1
ENSG00000279067.1	0.15371017211722096	Gene symbol not found
ENSG00000198963.10	0.15282296419381927	RORB
ENSG00000260304.1	0.151724814562056	Gene symbol not found
