	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.493961602353256	SLC6A15
ENSG00000204764.13	-0.40341204531678915	RANBP17
ENSG00000237125.8	0.4026842520593217	HAND2-AS1
ENSG00000196109.6	0.3977243093889473	ZNF676
ENSG00000131080.14	0.38853784687078974	EDA2R
ENSG00000178163.7	-0.37967126399332746	ZNF518B
ENSG00000171551.11	-0.3717612203433792	ECEL1
ENSG00000244681.1	0.36847673212973975	MTHFD2P1
ENSG00000244694.7	0.36358250715214996	PTCHD4
ENSG00000204876.4	0.3432778370125637	Gene symbol not found
ENSG00000196767.6	0.33924602199257525	POU3F4
ENSG00000184905.8	0.33237154892296156	TCEAL2
ENSG00000164107.8	0.32468011123144846	HAND2
ENSG00000100285.9	-0.3233982490732664	NEFH
ENSG00000163564.14	0.31722221440194903	PYHIN1
ENSG00000128710.5	0.2984061694734097	HOXD10
ENSG00000128713.13	0.2923891967312621	HOXD11
ENSG00000040731.10	0.28358036663392466	CDH10
ENSG00000164690.7	0.2757444296139351	SHH
ENSG00000189233.11	0.2713025555997478	NUGGC
ENSG00000250957.1	0.26205520292745377	
ENSG00000136944.17	-0.23292267886931387	LMX1B
ENSG00000152467.9	-0.23273864529573712	ZSCAN1
ENSG00000112319.17	0.23221256362021356	EYA4
ENSG00000008196.12	0.23077896534394227	TFAP2B
ENSG00000203797.9	0.23071395242028678	DDO
ENSG00000134853.11	-0.22917510277536607	PDGFRA
ENSG00000180347.13	0.22727361189852882	ITPRID1
ENSG00000204519.10	-0.22412618462177633	ZNF551
ENSG00000179909.15	-0.21806273789902098	ZNF154
ENSG00000226711.6	-0.21638712769654905	FAM66C
ENSG00000179399.14	0.21618239605906864	GPC5
ENSG00000121335.11	0.214379838551609	PRB2
ENSG00000181023.6	0.21210319380889558	OR56B1
ENSG00000186205.12	0.21102761716774596	MTARC1
ENSG00000162461.7	0.20904739006612394	SLC25A34
ENSG00000172667.10	0.20835804753848225	ZMAT3
ENSG00000176658.16	0.2066942007704671	MYO1D
ENSG00000159496.14	-0.2046216949409087	RGL4
ENSG00000272872.1	0.20367481349343133	
ENSG00000184144.11	0.19736534399828648	CNTN2
ENSG00000168556.6	-0.19588027934394298	ING2
ENSG00000259236.1	0.19509662466362812	GOLGA8VP
ENSG00000261587.2	0.19276990279509865	TMEM249
ENSG00000213642.3	-0.19102978168644982	Gene symbol not found
ENSG00000250337.5	0.18949367336150694	PURPL
ENSG00000124205.15	-0.18475377956851774	EDN3
ENSG00000111879.18	0.1838751309836972	FAM184A
ENSG00000080224.17	0.1836230938047112	EPHA6
ENSG00000256720.1	0.18250509016288008	BTG1P1
