	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2169453915889767	LHFPL4
ENSG00000070019.4	1.1390773566954482	GUCY2C
ENSG00000154162.14	-1.0447299511530852	CDH12
ENSG00000048540.14	1.0368855976272344	LMO3
ENSG00000255442.1	0.8840698758378064	Gene symbol not found
ENSG00000104044.15	-0.8425274711121049	OCA2
ENSG00000278318.4	-0.8107986402500751	ZNF229
ENSG00000244694.7	0.7734505032599563	PTCHD4
ENSG00000224810.1	-0.7656341384121881	Gene symbol not found
ENSG00000124253.10	-0.7575568466311039	PCK1
ENSG00000181690.7	-0.7114169730780251	PLAG1
ENSG00000246627.6	0.6904233522926615	
ENSG00000226057.6	0.6040871392886245	PHF2P2
ENSG00000114378.16	0.5949772795293962	HYAL1
ENSG00000267733.5	0.578572577895323	Gene symbol not found
ENSG00000180155.19	-0.5765118247563142	LYNX1
ENSG00000007372.21	0.5673815768582302	PAX6
ENSG00000176998.4	0.5670039416074676	HCG4
ENSG00000185008.17	-0.5548169691145711	ROBO2
ENSG00000271447.5	0.5424959733893279	MMP28
ENSG00000207296.1	0.5413376381015821	RNU6-140P
ENSG00000229375.1	0.5352605228644641	USP24P1
ENSG00000112333.11	0.5297131385411457	NR2E1
ENSG00000176153.11	-0.5274269833960465	GPX2
ENSG00000110092.3	0.5133215893249281	CCND1
ENSG00000267508.5	-0.5117542691626499	ZNF285
ENSG00000100321.14	-0.4936687370578251	SYNGR1
ENSG00000261104.1	-0.49120163267823225	Gene symbol not found
ENSG00000254043.1	-0.4784269896190284	Gene symbol not found
ENSG00000072818.11	0.4598435551894259	ACAP1
ENSG00000235903.7	-0.44513134884102046	CPB2-AS1
ENSG00000235961.5	-0.4438787860841469	PNMA6A
ENSG00000105520.10	-0.44283146734597667	PLPPR2
ENSG00000136378.14	0.4414245681020904	ADAMTS7
ENSG00000179151.11	-0.43794965629732135	EDC3
ENSG00000114405.10	-0.41908894870192737	CEP15
ENSG00000164099.3	-0.41597973896551804	PRSS12
ENSG00000172667.10	0.4138334602033628	ZMAT3
ENSG00000112852.6	0.4046652488422787	PCDHB2
ENSG00000143320.8	0.4032903911109401	CRABP2
ENSG00000163564.14	0.3965946492355898	PYHIN1
ENSG00000278937.1	-0.3919803412099405	
ENSG00000146521.9	0.3917904390373178	
ENSG00000235933.1	0.389881425841429	LINC01779
ENSG00000162722.8	0.38292174251753053	TRIM58
ENSG00000128311.13	0.38068137379339	TST
ENSG00000158023.9	0.3709370739470609	CFAP251
ENSG00000184990.12	-0.36934097057477144	SIVA1
ENSG00000230587.1	0.36446939899589353	LINC02580
