	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.28250832200684334	VENTX
ENSG00000131080.14	0.25338487613046995	EDA2R
ENSG00000252581.1	0.24258759729660995	RNU6-1098P
ENSG00000208005.1	-0.23054383282324578	MIR503
ENSG00000267544.1	-0.20822496209109154	HIKESHIP2
ENSG00000255836.1	-0.19746334127694257	Gene symbol not found
ENSG00000233429.9	0.19280159671402206	HOTAIRM1
ENSG00000197376.2	0.19062376352964777	Gene symbol not found
ENSG00000088836.12	0.18259418300274388	SLC4A11
ENSG00000259124.1	-0.17944518150276342	Gene symbol not found
ENSG00000187013.4	0.1782209202456297	LINC02875
ENSG00000207186.1	0.17339351331984315	RNA5SP122
ENSG00000259792.1	0.1718694134657489	Gene symbol not found
ENSG00000267773.1	-0.1712582393225552	Gene symbol not found
ENSG00000267799.1	-0.16577085739496406	MAN1A2P1
ENSG00000280710.2	-0.16518170102473195	
ENSG00000163071.10	0.16463485515325	SPATA18
ENSG00000278318.4	-0.1595406167012341	ZNF229
ENSG00000248476.1	-0.1586589827580522	BACH1-IT1
ENSG00000228526.6	0.1572410845986403	MIR34AHG
ENSG00000173908.8	-0.15703558067140036	KRT28
ENSG00000230453.9	0.15401714189490454	ANKRD18B
ENSG00000274904.1	-0.15249227303009397	Gene symbol not found
ENSG00000214121.4	-0.14944509268545852	PRDX1P1
ENSG00000202517.1	-0.1494257448985081	Gene symbol not found
ENSG00000172426.15	-0.14796567993415707	RSPH9
ENSG00000254294.1	-0.1447262429032574	IMPDH1P6
ENSG00000283377.1	-0.1440194081597184	Gene symbol not found
ENSG00000248646.1	-0.14330166241698838	
ENSG00000168418.7	0.14244379775934415	KCNG4
ENSG00000255794.7	0.14243146977161725	RMST
ENSG00000196862.9	-0.14020852174838977	RGPD4
ENSG00000230931.2	-0.13996256410824165	GXYLT1P1
ENSG00000277697.1	-0.1390243356975397	
ENSG00000225075.1	0.13812091827464476	Gene symbol not found
ENSG00000258550.1	-0.13746062763135367	OR7E106P
ENSG00000259742.1	-0.13665608015353872	Gene symbol not found
ENSG00000273687.1	0.1365619422088534	Gene symbol not found
ENSG00000276556.1	-0.1362185994695393	Gene symbol not found
ENSG00000244308.2	-0.13601384406051567	RN7SL762P
ENSG00000162722.8	-0.13578906438611124	TRIM58
ENSG00000164399.4	-0.13547506746311033	IL3
ENSG00000224566.2	-0.1308544646672357	CIAO2AP2
ENSG00000236380.5	-0.1303310541740702	VENTXP7
ENSG00000253642.5	0.13011235600580887	Gene symbol not found
ENSG00000207010.1	-0.12947270982701334	RNU6-318P
ENSG00000178343.4	0.12800356892774384	SHISA3
ENSG00000172680.1	-0.12785929200072854	MOS
ENSG00000120289.11	-0.12644828990111912	MAGEB4
ENSG00000134982.16	-0.12637923340178855	APC
