	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.442136307332713	ZNF518B
ENSG00000104722.13	-1.7050820491609084	NEFM
ENSG00000185010.13	1.5738903186547935	F8
ENSG00000260015.1	1.4174040655378692	Gene symbol not found
ENSG00000166262.15	-1.1972290416643674	FAM227B
ENSG00000159212.12	-1.1127370467441264	CLIC6
ENSG00000148082.9	1.0016866002540274	SHC3
ENSG00000224945.1	0.9885849496940805	Gene symbol not found
ENSG00000206195.10	0.972188800879586	DUXAP8
ENSG00000119973.5	0.9087865551614268	PRLHR
ENSG00000258628.1	0.9010923120888291	RHPN2P1
ENSG00000147889.17	0.8911748257323754	CDKN2A
ENSG00000255408.3	0.8848896188272981	PCDHA3
ENSG00000106341.10	0.8823736277416355	PPP1R17
ENSG00000244694.7	0.8504688236728781	PTCHD4
ENSG00000204176.13	-0.8350173296032373	SYT15
ENSG00000183770.5	0.761033910616199	FOXL2
ENSG00000255836.1	-0.740187488725353	Gene symbol not found
ENSG00000229020.4	0.7229127971613569	AKR7A2P1
ENSG00000143355.15	0.7050469224907574	LHX9
ENSG00000265366.6	0.6926268491192634	GLUD1P2
ENSG00000088882.7	-0.6901386469428049	CPXM1
ENSG00000163071.10	0.6197793748289973	SPATA18
ENSG00000213225.7	-0.6109812752426572	NOC2LP1
ENSG00000281205.1	-0.5985430535700894	
ENSG00000147027.3	0.5860560187613104	TMEM47
ENSG00000102796.10	-0.5489815730852028	DHRS12
ENSG00000100867.14	0.4936587393256566	DHRS2
ENSG00000214754.3	-0.44430466426420945	SRSF8CP
ENSG00000198804.2	-0.41763661020949805	MT-CO1
ENSG00000131080.14	0.4164525092308173	EDA2R
ENSG00000250218.1	0.38855415584467384	ALDH1L1-AS1
ENSG00000240401.8	0.37330661086935046	
ENSG00000236833.1	0.3544710794143194	Gene symbol not found
ENSG00000235268.2	-0.34565314047656387	KDM4E
ENSG00000275560.1	0.31906312170335394	
ENSG00000272674.3	0.3182521610860025	PCDHB16
ENSG00000204969.6	0.28557405416110815	PCDHA2
ENSG00000255158.1	-0.258536611651614	Gene symbol not found
ENSG00000173947.13	-0.23670561732568457	CIMAP3
ENSG00000188011.5	-0.22667967638765443	RTP5
ENSG00000200769.1	-0.21086641469930575	Y_RNA
ENSG00000124203.6	0.18547995564811437	ZNF831
ENSG00000054598.6	0.18177077467951636	FOXC1
ENSG00000184378.2	-0.18158586296922424	ACTRT3
ENSG00000100196.10	-0.17964099818104146	KDELR3
ENSG00000167281.18	-0.11784705857460381	RBFOX3
ENSG00000176046.8	-0.1024658572363318	NUPR1
ENSG00000272872.1	0.10145427541217338	
