	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.505933794606192	EYA4
ENSG00000048540.14	1.080470276135636	LMO3
ENSG00000268079.1	0.7279924670670634	BNIP3P30
ENSG00000178163.7	-0.6919470543554433	ZNF518B
ENSG00000008300.16	0.5088015890924291	CELSR3
ENSG00000255836.1	-0.4994206116544751	Gene symbol not found
ENSG00000277156.1	0.4840244798136683	TOMM40P1
ENSG00000198838.13	0.47290594595893415	RYR3
ENSG00000205213.13	-0.4407431086161176	LGR4
ENSG00000278530.4	0.4397305109680894	CHMP1B2P
ENSG00000189233.11	0.41890319062269604	NUGGC
ENSG00000244694.7	0.4176035382623899	PTCHD4
ENSG00000228526.6	0.4115550574709366	MIR34AHG
ENSG00000207291.1	0.40843944319023756	RNU6-30P
ENSG00000147231.13	0.40253786179438467	RADX
ENSG00000101405.3	-0.39408272553737206	OXT
ENSG00000182168.14	0.3910977932819905	UNC5C
ENSG00000185090.14	0.37551665844026666	MANEAL
ENSG00000141431.10	0.3751117111128728	ASXL3
ENSG00000180817.11	0.37085692833875694	PPA1
ENSG00000118526.6	0.36850434228460033	TCF21
ENSG00000174292.12	0.3639658282617311	TNK1
ENSG00000266236.1	0.36217027749492925	NARF-IT1
ENSG00000271709.1	0.3475303396566719	Gene symbol not found
ENSG00000172247.3	-0.3454390994523732	C1QTNF4
ENSG00000053438.8	-0.3449616577533082	NNAT
ENSG00000255468.6	-0.3416530194311064	B4GAT1-DT
ENSG00000101955.14	-0.33653424892766515	SRPX
ENSG00000261340.1	-0.3342289416551893	LINC01616
ENSG00000112599.8	0.3330980144565542	GUCA1B
ENSG00000267374.1	-0.33278574628129154	MIR924HG
ENSG00000236536.1	-0.33072698933699324	Gene symbol not found
ENSG00000165478.6	0.3230503502270271	HEPACAM
ENSG00000275322.1	-0.3225291829055223	Gene symbol not found
ENSG00000160233.7	-0.3220370506758044	LRRC3
ENSG00000250742.2	0.31816177789438194	LINC02381
ENSG00000206052.10	-0.31310097374065976	DOK6
ENSG00000172667.10	0.3115817510853838	ZMAT3
ENSG00000141576.14	0.30994480747005254	RNF157
ENSG00000253958.1	-0.30967551802102716	CLDN23
ENSG00000262001.1	-0.30762400946228097	DLGAP1-AS2
ENSG00000181036.13	0.307533518331213	FCRL6
ENSG00000131080.14	0.30639538872404076	EDA2R
ENSG00000217330.1	0.30446976098639694	SSXP10
ENSG00000132623.15	0.3014180217993931	ANKEF1
ENSG00000263335.1	0.29997311124942355	Gene symbol not found
ENSG00000229901.1	0.29937526314039586	FOXO6-AS1
ENSG00000131771.13	-0.29839471752314917	PPP1R1B
ENSG00000101882.9	0.2983261887442615	NKAP
