	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7516120641955825	Gene symbol not found
ENSG00000177791.11	0.7052572872403119	MYOZ1
ENSG00000151136.14	-0.6697359793686137	ABTB3
ENSG00000228034.1	-0.618998441551746	HMGN2P21
ENSG00000131080.14	0.6172278911220422	EDA2R
ENSG00000226816.2	-0.6014663852433773	Gene symbol not found
ENSG00000244694.7	0.5847347683182603	PTCHD4
ENSG00000102924.11	-0.5702502460853638	CBLN1
ENSG00000244681.1	0.5630097336081985	MTHFD2P1
ENSG00000074211.13	-0.5610760428830035	PPP2R2C
ENSG00000250337.5	0.541807318356361	PURPL
ENSG00000234546.3	0.5064069731023413	LNCTAM34A
ENSG00000163898.9	0.4861097849602792	LIPH
ENSG00000250241.5	0.4853178514112154	PCDH10-DT
ENSG00000222705.1	-0.48314254925265354	RN7SKP39
ENSG00000138650.8	0.48249975737941464	PCDH10
ENSG00000133640.18	0.4722442538290341	LRRIQ1
ENSG00000080224.17	0.4615893554490115	EPHA6
ENSG00000178075.19	0.45502372423113013	GRAMD1C
ENSG00000237978.5	0.45230907381454155	KCNMB2-AS1
ENSG00000171094.16	0.4350304813285425	ALK
ENSG00000111664.10	0.4304912566662948	GNB3
ENSG00000244306.10	0.42400563128876195	DUXAP10
ENSG00000164695.4	-0.4194515969383205	CHMP4C
ENSG00000242173.8	0.41461372759493526	ARHGDIG
ENSG00000133816.13	0.39514943391752383	MICAL2
ENSG00000167766.18	-0.3948770383012543	ZNF83
ENSG00000235570.1	-0.3905514808684279	LINC00533
ENSG00000181104.6	-0.3859572518109563	F2R
ENSG00000249738.8	-0.3818862043589545	Gene symbol not found
ENSG00000273356.1	0.37524005408239686	LINC02019
ENSG00000048540.14	0.3734982744262429	LMO3
ENSG00000151746.13	-0.3683995892408535	BICD1
ENSG00000174326.11	-0.3501568625889204	SLC16A11
ENSG00000163453.11	-0.34555895045594165	IGFBP7
ENSG00000106302.9	0.338502765109957	HYAL4
ENSG00000186105.7	-0.3239199297177752	LRRC70
ENSG00000073060.15	0.32281386677895413	SCARB1
ENSG00000228526.6	0.3226881409560579	MIR34AHG
ENSG00000233613.5	0.319857373462873	DCUN1D2-AS
ENSG00000182492.15	-0.31489083428217757	BGN
ENSG00000228828.1	0.31425465173044137	TLK2P2
ENSG00000145246.13	-0.307629695862834	ATP10D
ENSG00000122176.10	-0.3028689825530696	FMOD
ENSG00000102886.14	-0.2987001971098054	GDPD3
ENSG00000163071.10	0.29697993564484965	SPATA18
ENSG00000280234.1	0.2969121026506236	Gene symbol not found
ENSG00000169239.12	-0.29392506360988385	CA5B
ENSG00000259054.1	-0.29311455245088186	LINC02332
