	Coef_lung	Gene_name
ENSG00000178163.7	-0.7378796033493659	ZNF518B
ENSG00000131080.14	0.6844472720481323	EDA2R
ENSG00000145242.13	0.6669897429146647	EPHA5
ENSG00000147889.17	0.5999026861439833	CDKN2A
ENSG00000100285.9	-0.5235044075698096	NEFH
ENSG00000244681.1	0.45531004547849674	MTHFD2P1
ENSG00000100362.12	-0.43691367446436014	PVALB
ENSG00000022556.15	-0.4228806212598946	NLRP2
ENSG00000130876.11	-0.41606869349122444	SLC7A10
ENSG00000263280.1	-0.412199630953602	Gene symbol not found
ENSG00000160870.12	0.404544051823336	CYP3A7
ENSG00000244694.7	0.39523798261842635	PTCHD4
ENSG00000185090.14	0.3936081482440028	MANEAL
ENSG00000102854.15	-0.38871937730476575	MSLN
ENSG00000198542.13	0.38635957214079014	ITGBL1
ENSG00000187730.8	0.372941922435587	GABRD
ENSG00000189127.7	-0.36912439310402856	ANKRD34B
ENSG00000186642.15	-0.36052992228170205	PDE2A
ENSG00000230267.7	-0.3588579754146337	HERC2P4
ENSG00000244593.1	-0.3471755254657475	Gene symbol not found
ENSG00000185088.13	0.3466622180914638	RPS27L
ENSG00000257550.1	-0.3458982476126736	Gene symbol not found
ENSG00000102452.15	0.3423241951702755	NALCN
ENSG00000180543.4	-0.33336760693199785	TSPYL5
ENSG00000254198.1	-0.3273907457849856	Gene symbol not found
ENSG00000170549.3	-0.3257635983655929	IRX1
ENSG00000257194.2	0.31929765122618703	
ENSG00000080224.17	0.3177575041956694	EPHA6
ENSG00000112852.6	0.316724131532992	PCDHB2
ENSG00000143839.14	-0.3135485291394532	REN
ENSG00000272070.1	0.309613825907815	
ENSG00000273203.1	0.30753969798542313	
ENSG00000196109.6	0.29860205087331204	ZNF676
ENSG00000141576.14	0.2936630262272609	RNF157
ENSG00000267733.5	0.2934753836880682	Gene symbol not found
ENSG00000226822.2	-0.29080234206667277	
ENSG00000267643.1	0.2883829015889412	
ENSG00000277382.1	0.28653935700428157	Gene symbol not found
ENSG00000283913.1	-0.28157626139012504	Gene symbol not found
ENSG00000162039.14	-0.2814685535888764	MEIOB
ENSG00000101255.10	0.27522927653546436	TRIB3
ENSG00000174672.15	0.27479128228060523	BRSK2
ENSG00000113319.12	0.27381310027142414	RASGRF2
ENSG00000229915.1	-0.2699153933433848	Gene symbol not found
ENSG00000081818.3	0.26581142663009705	PCDHB4
ENSG00000106868.16	-0.2651367601280298	SUSD1
ENSG00000259134.5	0.26195467767967334	LINC00924
ENSG00000064205.10	0.25604760197777515	CCN5
ENSG00000242173.8	0.2545348267282944	ARHGDIG
ENSG00000138795.9	-0.25362298687546536	LEF1
