	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.49370176816621447	SLC6A15
ENSG00000237125.8	0.40207348710503105	HAND2-AS1
ENSG00000196109.6	0.39686254242500507	ZNF676
ENSG00000204764.13	-0.39632387394104207	RANBP17
ENSG00000131080.14	0.38858696132848697	EDA2R
ENSG00000178163.7	-0.387839304231892	ZNF518B
ENSG00000171551.11	-0.3690928750435434	ECEL1
ENSG00000244681.1	0.3663463237882426	MTHFD2P1
ENSG00000244694.7	0.36504311764520836	PTCHD4
ENSG00000204876.4	0.3444411582126651	Gene symbol not found
ENSG00000196767.6	0.34249313016040095	POU3F4
ENSG00000100285.9	-0.3290227436923597	NEFH
ENSG00000184905.8	0.32497695301330004	TCEAL2
ENSG00000164107.8	0.3206191825372564	HAND2
ENSG00000163564.14	0.3165716264406394	PYHIN1
ENSG00000128710.5	0.29457508601515653	HOXD10
ENSG00000040731.10	0.2942142759411294	CDH10
ENSG00000128713.13	0.29065325463690717	HOXD11
ENSG00000164690.7	0.28160082147540894	SHH
ENSG00000189233.11	0.275203010363612	NUGGC
ENSG00000250957.1	0.2652855095682416	
ENSG00000136944.17	-0.2346839139305835	LMX1B
ENSG00000152467.9	-0.23436882049421492	ZSCAN1
ENSG00000180347.13	0.2336798307775189	ITPRID1
ENSG00000008196.12	0.23318140797607625	TFAP2B
ENSG00000112319.17	0.23180730266285068	EYA4
ENSG00000203797.9	0.22439726524120343	DDO
ENSG00000134853.11	-0.22280037310722028	PDGFRA
ENSG00000204519.10	-0.21976531962014142	ZNF551
ENSG00000179399.14	0.21620797150253498	GPC5
ENSG00000226711.6	-0.21503747318167954	FAM66C
ENSG00000186205.12	0.21436570547653092	MTARC1
ENSG00000179909.15	-0.21372351946742396	ZNF154
ENSG00000121335.11	0.21079390693088776	PRB2
ENSG00000172667.10	0.21079231428312603	ZMAT3
ENSG00000181023.6	0.210691736063424	OR56B1
ENSG00000176658.16	0.21058886826234302	MYO1D
ENSG00000272872.1	0.20710118258711918	
ENSG00000159496.14	-0.205290890563588	RGL4
ENSG00000162461.7	0.20305531442094915	SLC25A34
ENSG00000259236.1	0.20190016986867643	GOLGA8VP
ENSG00000184144.11	0.199621763146443	CNTN2
ENSG00000168556.6	-0.1984406490227007	ING2
ENSG00000261587.2	0.1936483740643736	TMEM249
ENSG00000249388.1	-0.1889922543424818	FLJ12825
ENSG00000228971.2	-0.18894679043335108	LINC02607
ENSG00000250337.5	0.18758740767166174	PURPL
ENSG00000124205.15	-0.18575682752041422	EDN3
ENSG00000213642.3	-0.1846236820075206	Gene symbol not found
ENSG00000101203.16	0.18449926903806887	COL20A1
