	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7563284632366378	Gene symbol not found
ENSG00000177791.11	0.7114264682473687	MYOZ1
ENSG00000151136.14	-0.6950053864388556	ABTB3
ENSG00000228034.1	-0.625712135621358	HMGN2P21
ENSG00000131080.14	0.6165612705337031	EDA2R
ENSG00000226816.2	-0.6024853340678297	Gene symbol not found
ENSG00000244694.7	0.5818369813831972	PTCHD4
ENSG00000102924.11	-0.5696829586554493	CBLN1
ENSG00000244681.1	0.5696729328256583	MTHFD2P1
ENSG00000074211.13	-0.5640100855451556	PPP2R2C
ENSG00000250337.5	0.5354103679327146	PURPL
ENSG00000234546.3	0.5092984389040056	LNCTAM34A
ENSG00000250241.5	0.49294858148339465	PCDH10-DT
ENSG00000138650.8	0.4926793883088904	PCDH10
ENSG00000163898.9	0.4724811550622399	LIPH
ENSG00000222705.1	-0.46923121483643226	RN7SKP39
ENSG00000080224.17	0.46696876596981113	EPHA6
ENSG00000237978.5	0.46429185385964605	KCNMB2-AS1
ENSG00000133640.18	0.4541360100696514	LRRIQ1
ENSG00000178075.19	0.45341569735841986	GRAMD1C
ENSG00000171094.16	0.44290571275651286	ALK
ENSG00000111664.10	0.4274685748842483	GNB3
ENSG00000235570.1	-0.41532231170329614	LINC00533
ENSG00000244306.10	0.4110991967233025	DUXAP10
ENSG00000164695.4	-0.4040737692883842	CHMP4C
ENSG00000167766.18	-0.39972200540853026	ZNF83
ENSG00000242173.8	0.3976201031631107	ARHGDIG
ENSG00000133816.13	0.3949665250796699	MICAL2
ENSG00000181104.6	-0.3833982497443036	F2R
ENSG00000273356.1	0.38229201335632057	LINC02019
ENSG00000048540.14	0.3807197157523013	LMO3
ENSG00000249738.8	-0.37799155597281175	Gene symbol not found
ENSG00000151746.13	-0.3743443561085313	BICD1
ENSG00000174326.11	-0.3472804367228966	SLC16A11
ENSG00000106302.9	0.34422706687072296	HYAL4
ENSG00000163453.11	-0.3403126405385583	IGFBP7
ENSG00000228828.1	0.3288876190018516	TLK2P2
ENSG00000186105.7	-0.32722320747011746	LRRC70
ENSG00000233613.5	0.32689029690846344	DCUN1D2-AS
ENSG00000182492.15	-0.3218743063162196	BGN
ENSG00000228526.6	0.3208764739384772	MIR34AHG
ENSG00000280234.1	0.31511870429882444	Gene symbol not found
ENSG00000259054.1	-0.3134962830789738	LINC02332
ENSG00000073060.15	0.3088057413841377	SCARB1
ENSG00000145246.13	-0.3055267174139691	ATP10D
ENSG00000122176.10	-0.3029751940271271	FMOD
ENSG00000102886.14	-0.29726649702587665	GDPD3
ENSG00000225210.9	0.29628145655120536	DUXAP9
ENSG00000163071.10	0.2906564141186297	SPATA18
