	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4312029947742273	ZNF518B
ENSG00000104722.13	-1.697139613336821	NEFM
ENSG00000185010.13	1.571826216954667	F8
ENSG00000260015.1	1.4268411358240691	Gene symbol not found
ENSG00000166262.15	-1.180699986168356	FAM227B
ENSG00000159212.12	-1.0889362590138991	CLIC6
ENSG00000148082.9	0.9993498751989036	SHC3
ENSG00000206195.10	0.9840847418268439	DUXAP8
ENSG00000224945.1	0.9736959677559385	Gene symbol not found
ENSG00000255408.3	0.9145317562323088	PCDHA3
ENSG00000106341.10	0.9025695537235384	PPP1R17
ENSG00000258628.1	0.8997738292347496	RHPN2P1
ENSG00000119973.5	0.8890291863871609	PRLHR
ENSG00000147889.17	0.8863532811747745	CDKN2A
ENSG00000244694.7	0.858071457955346	PTCHD4
ENSG00000204176.13	-0.8356364745939496	SYT15
ENSG00000183770.5	0.7876483313854394	FOXL2
ENSG00000255836.1	-0.7559834821214388	Gene symbol not found
ENSG00000229020.4	0.7047635415500992	AKR7A2P1
ENSG00000265366.6	0.7035380846513271	GLUD1P2
ENSG00000143355.15	0.6964254398945849	LHX9
ENSG00000088882.7	-0.6802334370945948	CPXM1
ENSG00000163071.10	0.6256502308967252	SPATA18
ENSG00000213225.7	-0.5963068308835348	NOC2LP1
ENSG00000281205.1	-0.5947392310830104	
ENSG00000147027.3	0.5767345208091627	TMEM47
ENSG00000102796.10	-0.5628153781451711	DHRS12
ENSG00000100867.14	0.4907754777812849	DHRS2
ENSG00000214754.3	-0.4571068985005395	SRSF8CP
ENSG00000198804.2	-0.41825091183512403	MT-CO1
ENSG00000131080.14	0.39542290853045386	EDA2R
ENSG00000250218.1	0.39175871829650777	ALDH1L1-AS1
ENSG00000240401.8	0.37619810706135054	
ENSG00000236833.1	0.34850066903932714	Gene symbol not found
ENSG00000235268.2	-0.33871613556616437	KDM4E
ENSG00000275560.1	0.3114405878771545	
ENSG00000204969.6	0.29218540369485807	PCDHA2
ENSG00000272674.3	0.2840521960806295	PCDHB16
ENSG00000255158.1	-0.271529133172972	Gene symbol not found
ENSG00000173947.13	-0.22653949999520198	CIMAP3
ENSG00000188011.5	-0.2117902949092382	RTP5
ENSG00000184378.2	-0.21452951292833333	ACTRT3
ENSG00000200769.1	-0.21149355117517954	Y_RNA
ENSG00000054598.6	0.21025955307717298	FOXC1
ENSG00000124203.6	0.1697391981276046	ZNF831
ENSG00000100196.10	-0.153354547624673	KDELR3
ENSG00000167281.18	-0.14443813948932074	RBFOX3
ENSG00000176046.8	-0.08864256658153549	NUPR1
ENSG00000272872.1	0.09251654689251834	
