	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.458721777907524	ZNF518B
ENSG00000104722.13	-1.6903367598824641	NEFM
ENSG00000185010.13	1.5871238112261443	F8
ENSG00000260015.1	1.4247962069385811	Gene symbol not found
ENSG00000166262.15	-1.2036331885475242	FAM227B
ENSG00000159212.12	-1.1046538444294904	CLIC6
ENSG00000206195.10	1.0006703490490834	DUXAP8
ENSG00000148082.9	0.9952785337387159	SHC3
ENSG00000224945.1	0.9725936167725526	Gene symbol not found
ENSG00000119973.5	0.8986962237339662	PRLHR
ENSG00000258628.1	0.8973111120455973	RHPN2P1
ENSG00000255408.3	0.8929798537233085	PCDHA3
ENSG00000106341.10	0.886676902359054	PPP1R17
ENSG00000147889.17	0.8821583687839275	CDKN2A
ENSG00000244694.7	0.859277014743225	PTCHD4
ENSG00000204176.13	-0.8398636485904645	SYT15
ENSG00000183770.5	0.791682413926899	FOXL2
ENSG00000255836.1	-0.7562080697554782	Gene symbol not found
ENSG00000265366.6	0.7095048046486289	GLUD1P2
ENSG00000143355.15	0.7000603570109311	LHX9
ENSG00000229020.4	0.6975497193220366	AKR7A2P1
ENSG00000088882.7	-0.6623428749292233	CPXM1
ENSG00000163071.10	0.6164602311404563	SPATA18
ENSG00000281205.1	-0.6149741964412739	
ENSG00000147027.3	0.5972166391712209	TMEM47
ENSG00000213225.7	-0.5812364535429558	NOC2LP1
ENSG00000102796.10	-0.5424868879679958	DHRS12
ENSG00000100867.14	0.4938608528427294	DHRS2
ENSG00000214754.3	-0.45385006017769947	SRSF8CP
ENSG00000198804.2	-0.4221524124330132	MT-CO1
ENSG00000250218.1	0.40744295216652693	ALDH1L1-AS1
ENSG00000131080.14	0.4042760619454622	EDA2R
ENSG00000240401.8	0.37880057731247063	
ENSG00000235268.2	-0.3763013132769902	KDM4E
ENSG00000236833.1	0.367689492419064	Gene symbol not found
ENSG00000275560.1	0.33242994767648154	
ENSG00000272674.3	0.3250822592417674	PCDHB16
ENSG00000204969.6	0.3050041463447679	PCDHA2
ENSG00000255158.1	-0.2659996507964718	Gene symbol not found
ENSG00000188011.5	-0.2462825459518752	RTP5
ENSG00000200769.1	-0.23303188864999	Y_RNA
ENSG00000184378.2	-0.21367136717718835	ACTRT3
ENSG00000054598.6	0.1951484330672491	FOXC1
ENSG00000173947.13	-0.21393611769033258	CIMAP3
ENSG00000100196.10	-0.1788395080279392	KDELR3
ENSG00000124203.6	0.15124364991406453	ZNF831
ENSG00000167281.18	-0.10462585794394753	RBFOX3
ENSG00000272872.1	0.10092287298005848	
ENSG00000176046.8	-0.08308496454400559	NUPR1
