	Coef_lung	Gene_name
ENSG00000178163.7	-0.7407973877640109	ZNF518B
ENSG00000131080.14	0.6876948153912312	EDA2R
ENSG00000145242.13	0.6632106047494501	EPHA5
ENSG00000147889.17	0.6041170252138365	CDKN2A
ENSG00000100285.9	-0.5129158317507626	NEFH
ENSG00000244681.1	0.45854316145570323	MTHFD2P1
ENSG00000100362.12	-0.4397531510812379	PVALB
ENSG00000022556.15	-0.4119495782017369	NLRP2
ENSG00000263280.1	-0.40833507559640514	Gene symbol not found
ENSG00000130876.11	-0.4080808203086908	SLC7A10
ENSG00000160870.12	0.40076635841989616	CYP3A7
ENSG00000244694.7	0.39246051590020836	PTCHD4
ENSG00000102854.15	-0.39005432880086993	MSLN
ENSG00000185090.14	0.388419960235591	MANEAL
ENSG00000198542.13	0.38664772576684875	ITGBL1
ENSG00000189127.7	-0.37860927214902834	ANKRD34B
ENSG00000187730.8	0.36897554184075315	GABRD
ENSG00000186642.15	-0.35984909909952867	PDE2A
ENSG00000230267.7	-0.3587038936012733	HERC2P4
ENSG00000244593.1	-0.3458770970870799	Gene symbol not found
ENSG00000185088.13	0.34364154413517506	RPS27L
ENSG00000257550.1	-0.3413025064276045	Gene symbol not found
ENSG00000102452.15	0.33816352901588026	NALCN
ENSG00000257194.2	0.3354803190902923	
ENSG00000180543.4	-0.3337936634573221	TSPYL5
ENSG00000170549.3	-0.32718078135852735	IRX1
ENSG00000254198.1	-0.32542817911223587	Gene symbol not found
ENSG00000112852.6	0.32036550649851026	PCDHB2
ENSG00000272070.1	0.3189944722927918	
ENSG00000143839.14	-0.3137446152444318	REN
ENSG00000080224.17	0.3121931717744605	EPHA6
ENSG00000273203.1	0.307311653765538	
ENSG00000267733.5	0.30034738015312196	Gene symbol not found
ENSG00000141576.14	0.2996327281524457	RNF157
ENSG00000196109.6	0.2976337849756338	ZNF676
ENSG00000277382.1	0.28847608777571976	Gene symbol not found
ENSG00000226822.2	-0.2879571213085733	
ENSG00000267643.1	0.2861214342640317	
ENSG00000101255.10	0.2845005448480474	TRIB3
ENSG00000283913.1	-0.28260925445400636	Gene symbol not found
ENSG00000162039.14	-0.28028084617052984	MEIOB
ENSG00000113319.12	0.276001627940616	RASGRF2
ENSG00000174672.15	0.27506562379996313	BRSK2
ENSG00000081818.3	0.26999012712426973	PCDHB4
ENSG00000242173.8	0.2673879281421612	ARHGDIG
ENSG00000259134.5	0.2629178481740827	LINC00924
ENSG00000106868.16	-0.2623373491539148	SUSD1
ENSG00000229915.1	-0.26227306626711266	Gene symbol not found
ENSG00000283145.1	-0.25885181791314826	Gene symbol not found
ENSG00000138795.9	-0.25790135805098646	LEF1
