	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4052461187404353	ZNF518B
ENSG00000104722.13	-1.6874596814847092	NEFM
ENSG00000185010.13	1.5790846823587084	F8
ENSG00000260015.1	1.4138543074495478	Gene symbol not found
ENSG00000166262.15	-1.153308498204319	FAM227B
ENSG00000159212.12	-1.0634201994337797	CLIC6
ENSG00000148082.9	1.008263737292904	SHC3
ENSG00000206195.10	0.9908175298388662	DUXAP8
ENSG00000224945.1	0.9745790656299689	Gene symbol not found
ENSG00000255408.3	0.9258156976286654	PCDHA3
ENSG00000119973.5	0.9251966079546469	PRLHR
ENSG00000147889.17	0.8963394962387186	CDKN2A
ENSG00000106341.10	0.890086101860435	PPP1R17
ENSG00000258628.1	0.8843628126540821	RHPN2P1
ENSG00000244694.7	0.8821249210118846	PTCHD4
ENSG00000204176.13	-0.8727961594956268	SYT15
ENSG00000255836.1	-0.7704719660938354	Gene symbol not found
ENSG00000183770.5	0.7669432967207455	FOXL2
ENSG00000229020.4	0.7171573052080499	AKR7A2P1
ENSG00000265366.6	0.7139179062835189	GLUD1P2
ENSG00000143355.15	0.6931494894068445	LHX9
ENSG00000088882.7	-0.6648674329266454	CPXM1
ENSG00000281205.1	-0.6095454646532797	
ENSG00000147027.3	0.5968100827996479	TMEM47
ENSG00000163071.10	0.5900742586225898	SPATA18
ENSG00000213225.7	-0.5696509848105812	NOC2LP1
ENSG00000102796.10	-0.5516584734398491	DHRS12
ENSG00000100867.14	0.491963602029185	DHRS2
ENSG00000214754.3	-0.4465160020178191	SRSF8CP
ENSG00000198804.2	-0.44485269142892586	MT-CO1
ENSG00000131080.14	0.4012121224284144	EDA2R
ENSG00000250218.1	0.37481604809287716	ALDH1L1-AS1
ENSG00000240401.8	0.3426925138110134	
ENSG00000235268.2	-0.34220247620466354	KDM4E
ENSG00000236833.1	0.3346612195027871	Gene symbol not found
ENSG00000275560.1	0.314387765919614	
ENSG00000204969.6	0.3143434269140026	PCDHA2
ENSG00000272674.3	0.295247254191312	PCDHB16
ENSG00000255158.1	-0.24333582863620765	Gene symbol not found
ENSG00000173947.13	-0.2304742142567849	CIMAP3
ENSG00000184378.2	-0.22050878126027426	ACTRT3
ENSG00000200769.1	-0.21200851814505273	Y_RNA
ENSG00000054598.6	0.19595416818791864	FOXC1
ENSG00000188011.5	-0.17090524542726204	RTP5
ENSG00000167281.18	-0.17951772431578447	RBFOX3
ENSG00000100196.10	-0.17172483279992892	KDELR3
ENSG00000124203.6	0.1371806206724747	ZNF831
ENSG00000272872.1	0.1171826981420264	
ENSG00000176046.8	-0.09712765244784898	NUPR1
