	Coef_liver	Gene_name
ENSG00000242573.1	-0.3747681433075878	ACTR3P3
ENSG00000219702.1	-0.31836357264260945	Gene symbol not found
ENSG00000114631.10	-0.31109718421524357	PODXL2
ENSG00000261570.1	-0.2734425491910692	AGK-DT
ENSG00000222426.1	-0.2678324278667279	RNU2-50P
ENSG00000259326.1	0.25801045516300075	Gene symbol not found
ENSG00000256436.1	0.2547034999539977	TAS2R31
ENSG00000271209.1	0.2525940818264449	BRDTP1
ENSG00000254345.1	-0.23956890947714857	IGKV2D-23
ENSG00000253604.1	-0.23894823399655987	Gene symbol not found
ENSG00000283205.1	-0.23356557441872933	Gene symbol not found
ENSG00000226703.1	-0.22791938912064252	NPM1P4
ENSG00000235118.7	-0.22000478772907253	FAM237A
ENSG00000260877.2	0.21887080741016485	Gene symbol not found
ENSG00000283288.1	-0.2178759386885343	SMIM33
ENSG00000228262.8	0.21677818717365183	LINC01320
ENSG00000264685.1	-0.2132214805864276	PRPF19P1
ENSG00000237631.2	0.20627108649705175	PARK7P2
ENSG00000238835.1	-0.20315593456092051	SCARNA18
ENSG00000248647.2	0.20249073819992808	Gene symbol not found
ENSG00000231066.3	-0.20105701966786052	NPM1P9
ENSG00000250480.3	-0.20083447852879166	RLIG1P1
ENSG00000283098.1	0.19845460670777812	Gene symbol not found
ENSG00000227240.1	0.19804426535779773	Gene symbol not found
ENSG00000103200.6	-0.19703796740213136	Gene symbol not found
ENSG00000233057.1	0.1947620620215071	EEF1A1P14
ENSG00000231849.1	-0.18998099865682827	UBE2V2P4
ENSG00000273989.1	0.18797537385155108	Gene symbol not found
ENSG00000108417.3	-0.18628591870532196	KRT37
ENSG00000255147.1	-0.18628360216523887	EVA1CP4
ENSG00000159247.13	0.18533823357296983	TUBBP5
ENSG00000214185.3	-0.1846892471265533	XPOTP1
ENSG00000259845.1	-0.1834631797634552	HERC2P10
ENSG00000205220.11	-0.17920868980478788	PSMB10
ENSG00000239958.3	-0.17873857730924156	RN7SL51P
ENSG00000180855.15	0.17837950554975618	ZNF443
ENSG00000225370.1	-0.17732255147268988	Gene symbol not found
ENSG00000152977.9	0.17545245269725915	ZIC1
ENSG00000236062.1	0.17398565262998414	GSTM5P1
ENSG00000102053.12	0.1712877872849156	ZC3H12B
ENSG00000254106.1	-0.17059054676594332	LINC01848
ENSG00000277474.1	-0.16780813200803538	MIR6894
ENSG00000284242.1	-0.16678217065213533	Gene symbol not found
ENSG00000227814.3	0.1666671294908861	MRPS17P9
ENSG00000272275.1	-0.16618259390614645	Gene symbol not found
ENSG00000179873.14	0.1661650816755473	NLRP11
ENSG00000150873.11	-0.165162510242445	C2orf50
ENSG00000278054.1	-0.16501918687815864	Gene symbol not found
ENSG00000188738.14	0.16414740462704652	FSIP2
ENSG00000062096.14	0.16308403510054792	ARSF
