	Coef_lung	Gene_name
ENSG00000178163.7	-0.7354949111546811	ZNF518B
ENSG00000131080.14	0.6880395126127544	EDA2R
ENSG00000145242.13	0.6729890874572768	EPHA5
ENSG00000147889.17	0.605695211325693	CDKN2A
ENSG00000100285.9	-0.5144431899039515	NEFH
ENSG00000244681.1	0.4528889568691319	MTHFD2P1
ENSG00000100362.12	-0.44230311889677865	PVALB
ENSG00000130876.11	-0.4111843537724345	SLC7A10
ENSG00000022556.15	-0.40968182684308857	NLRP2
ENSG00000263280.1	-0.408915293256933	Gene symbol not found
ENSG00000160870.12	0.3998621835137466	CYP3A7
ENSG00000198542.13	0.3906684991035896	ITGBL1
ENSG00000102854.15	-0.39049345884434206	MSLN
ENSG00000244694.7	0.3872673606730138	PTCHD4
ENSG00000185090.14	0.38586728568711803	MANEAL
ENSG00000189127.7	-0.3689818631487887	ANKRD34B
ENSG00000186642.15	-0.36554789359806594	PDE2A
ENSG00000187730.8	0.36452900520862075	GABRD
ENSG00000230267.7	-0.3608304137800668	HERC2P4
ENSG00000185088.13	0.3464580576821587	RPS27L
ENSG00000244593.1	-0.34382345668468967	Gene symbol not found
ENSG00000102452.15	0.3339772873381532	NALCN
ENSG00000257550.1	-0.33244459106015745	Gene symbol not found
ENSG00000112852.6	0.32968737355816335	PCDHB2
ENSG00000180543.4	-0.3270573923424661	TSPYL5
ENSG00000257194.2	0.3238005463446754	
ENSG00000170549.3	-0.3220481806030203	IRX1
ENSG00000254198.1	-0.32013811833949624	Gene symbol not found
ENSG00000080224.17	0.31453625469377905	EPHA6
ENSG00000272070.1	0.3124856756919702	
ENSG00000196109.6	0.31089886010265755	ZNF676
ENSG00000273203.1	0.30957063634929854	
ENSG00000143839.14	-0.30872763973193695	REN
ENSG00000141576.14	0.29870263605522795	RNF157
ENSG00000277382.1	0.29156339890490174	Gene symbol not found
ENSG00000267733.5	0.2909210259251642	Gene symbol not found
ENSG00000267643.1	0.2849187998486044	
ENSG00000101255.10	0.28423951542949477	TRIB3
ENSG00000162039.14	-0.2840761298447393	MEIOB
ENSG00000174672.15	0.28324658604375813	BRSK2
ENSG00000283913.1	-0.27943182337810196	Gene symbol not found
ENSG00000226822.2	-0.2794045336802283	
ENSG00000106868.16	-0.2725462644910661	SUSD1
ENSG00000113319.12	0.2720685819735103	RASGRF2
ENSG00000081818.3	0.26370617489004206	PCDHB4
ENSG00000283145.1	-0.26146164080866563	Gene symbol not found
ENSG00000259134.5	0.2599947366642889	LINC00924
ENSG00000138795.9	-0.25730375941470357	LEF1
ENSG00000064205.10	0.25476714920334204	CCN5
ENSG00000235821.1	0.2547197191929531	IFITM4P
