	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.4008785779090168	ACER2P1
ENSG00000244694.7	0.3267624580490762	PTCHD4
ENSG00000252719.1	-0.32317122705439827	Gene symbol not found
ENSG00000185088.13	0.3171412024851681	RPS27L
ENSG00000252591.1	-0.3126574186583217	RNA5SP468
ENSG00000131080.14	0.3045649152857906	EDA2R
ENSG00000173535.13	0.27940154115329124	TNFRSF10C
ENSG00000213816.3	-0.2744089480346783	CNN2P4
ENSG00000117594.9	0.2697862325972269	HSD11B1
ENSG00000255492.1	-0.2616328700472309	H3P33
ENSG00000260255.1	-0.2611652617321359	Gene symbol not found
ENSG00000202272.1	-0.24906494744627033	Y_RNA
ENSG00000232139.5	-0.24707709762705093	LINC00867
ENSG00000269526.1	-0.2446734186857046	ERVV-1
ENSG00000278698.1	-0.2330408960564631	Gene symbol not found
ENSG00000134574.11	0.22611142426297254	DDB2
ENSG00000235623.2	-0.22542808312015325	OR7E110P
ENSG00000280436.1	-0.2239566256266387	Gene symbol not found
ENSG00000236136.1	0.22327043601053959	ADORA2BP1
ENSG00000216977.1	0.21879722289633874	RPL21P65
ENSG00000203531.3	-0.21329291779723758	Gene symbol not found
ENSG00000232939.1	-0.2052891525599738	Gene symbol not found
ENSG00000243539.3	-0.20426116809095277	RN7SL649P
ENSG00000237978.5	0.19772452318373263	KCNMB2-AS1
ENSG00000255489.1	-0.197122839157435	Gene symbol not found
ENSG00000252778.1	-0.19312756196198283	Gene symbol not found
ENSG00000268994.3	-0.19235637852299797	FAM236B
ENSG00000270900.1	-0.18690660619444757	NUDT19P4
ENSG00000234913.1	-0.18450172905370774	Gene symbol not found
ENSG00000226320.5	-0.184302733417011	LINC01811
ENSG00000177770.11	-0.18392632246625934	CDKN2AIPNLP1
ENSG00000100593.17	-0.18141315371234365	ISM2
ENSG00000228162.1	-0.18120038954280776	Gene symbol not found
ENSG00000252919.1	-0.17930628356418563	Y_RNA
ENSG00000253305.2	-0.1783646621155968	PCDHGB6
ENSG00000279954.1	-0.17815951420258372	Gene symbol not found
ENSG00000267289.1	-0.17444104013632994	PIN1-DT
ENSG00000251874.1	-0.17329315269413673	RNU6-615P
ENSG00000235151.1	-0.17131119191059274	Gene symbol not found
ENSG00000178163.7	-0.17055524968726113	ZNF518B
ENSG00000173451.6	-0.16758998430156632	THAP2
ENSG00000234379.1	-0.16232733921392994	HMGB1P48
ENSG00000240423.1	-0.16219201245834597	LINC00636
ENSG00000254251.1	0.1621289262310332	Gene symbol not found
ENSG00000236886.2	-0.16159100999051607	
ENSG00000273568.1	0.16154537996099333	Gene symbol not found
ENSG00000278200.1	-0.16059829915963417	LINC01971
ENSG00000180662.8	-0.15916492483009975	RPL21P8
ENSG00000272969.1	-0.1582401448468245	Gene symbol not found
ENSG00000061337.15	-0.1580452589023995	LZTS1
