	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.39917208373957086	PTCHD4
ENSG00000105707.13	0.3664030818955234	HPN
ENSG00000272721.5	-0.3504820001933463	EIF2B5-DT
ENSG00000268758.7	0.3317976141173458	ADGRE4P
ENSG00000276656.1	-0.328494350840688	MIR6083
ENSG00000253439.1	0.3248416767476766	CDC42P5
ENSG00000275532.1	-0.3213199533353582	Gene symbol not found
ENSG00000162753.11	-0.3211282705283219	SLC9C2
ENSG00000198099.8	0.31623506895839304	ADH4
ENSG00000253549.5	-0.31387641353783957	CA3-AS1
ENSG00000267225.1	-0.3117837121699	WDR7-OT1
ENSG00000229124.6	0.3112486698238625	VIM-AS1
ENSG00000236345.1	0.30666481473891083	SCAT8
ENSG00000176219.2	-0.30391077027749536	OR11H6
ENSG00000270947.1	-0.3033748007616431	Gene symbol not found
ENSG00000273870.1	-0.2988921610162435	Gene symbol not found
ENSG00000250337.5	0.2922312934536236	PURPL
ENSG00000149403.12	0.28052796294024956	GRIK4
ENSG00000258992.6	-0.2804369804699339	TSPY1
ENSG00000131080.14	0.2797147253144214	EDA2R
ENSG00000145107.15	-0.2779821369573804	TM4SF19
ENSG00000282692.1	0.2735724171022514	Gene symbol not found
ENSG00000093072.15	-0.27157727471175447	ADA2
ENSG00000272872.1	0.2688567644923142	
ENSG00000146070.16	-0.2650885557605589	PLA2G7
ENSG00000229891.1	0.25759205911468647	LINC01315
ENSG00000263276.1	0.25220584402606294	Gene symbol not found
ENSG00000271734.1	0.25171786150047376	
ENSG00000105711.11	0.2505750630891664	SCN1B
ENSG00000076944.15	-0.24489549642985192	STXBP2
ENSG00000273143.1	0.24438212480017651	DUSP5-DT
ENSG00000240160.3	0.2374871544677343	RN7SL263P
ENSG00000057657.15	0.23742701551922268	PRDM1
ENSG00000124762.13	0.23705587982896473	CDKN1A
ENSG00000170231.15	0.23623875634389724	FABP6
ENSG00000184895.7	-0.23433803136068343	SRY
ENSG00000253894.1	-0.23298788930575154	Gene symbol not found
ENSG00000260144.1	0.2325006765893284	Gene symbol not found
ENSG00000178343.4	0.2322939327757028	SHISA3
ENSG00000222714.1	0.23042528774166346	RN7SKP38
ENSG00000241346.1	0.22924288247724361	SNRPCP11
ENSG00000178538.9	-0.2288069855507193	CA8
ENSG00000232530.1	0.2278185859139605	LIF-AS1
ENSG00000271600.1	-0.22713811985729884	Gene symbol not found
ENSG00000232732.9	0.22561975625961844	Gene symbol not found
ENSG00000254281.1	-0.223986110318195	
ENSG00000279846.1	0.22043454999369225	Gene symbol not found
ENSG00000197360.9	-0.21971968550137594	ZNF98
ENSG00000036672.15	0.2187830268138705	USP2
