	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.400136740100884	ACER2P1
ENSG00000252719.1	-0.33502066022866456	Gene symbol not found
ENSG00000244694.7	0.3237958436048098	PTCHD4
ENSG00000185088.13	0.3173225084622606	RPS27L
ENSG00000131080.14	0.3057645773152583	EDA2R
ENSG00000252591.1	-0.3039665340006442	RNA5SP468
ENSG00000173535.13	0.2769661056649307	TNFRSF10C
ENSG00000213816.3	-0.27133146753808984	CNN2P4
ENSG00000255492.1	-0.26619818979560217	H3P33
ENSG00000117594.9	0.26605775043799373	HSD11B1
ENSG00000260255.1	-0.25689148476673107	Gene symbol not found
ENSG00000232139.5	-0.2447351111799946	LINC00867
ENSG00000269526.1	-0.24189394168569223	ERVV-1
ENSG00000202272.1	-0.23919873424449628	Y_RNA
ENSG00000278698.1	-0.23131123510101437	Gene symbol not found
ENSG00000280436.1	-0.22920522605281654	Gene symbol not found
ENSG00000134574.11	0.22406679621932551	DDB2
ENSG00000236136.1	0.22011985787368674	ADORA2BP1
ENSG00000216977.1	0.21783436551503	RPL21P65
ENSG00000235623.2	-0.2163255108257455	OR7E110P
ENSG00000203531.3	-0.2099194234372718	Gene symbol not found
ENSG00000255489.1	-0.20302816843237595	Gene symbol not found
ENSG00000232939.1	-0.2002982838041489	Gene symbol not found
ENSG00000237978.5	0.1996392890640633	KCNMB2-AS1
ENSG00000243539.3	-0.19643618180051156	RN7SL649P
ENSG00000268994.3	-0.19398671049264274	FAM236B
ENSG00000177770.11	-0.19332737413040757	CDKN2AIPNLP1
ENSG00000252778.1	-0.19332408133730863	Gene symbol not found
ENSG00000234913.1	-0.18790375418112398	Gene symbol not found
ENSG00000100593.17	-0.18684421450725938	ISM2
ENSG00000270900.1	-0.18534745942114952	NUDT19P4
ENSG00000251874.1	-0.1833517909303435	RNU6-615P
ENSG00000253305.2	-0.17906569100692732	PCDHGB6
ENSG00000228162.1	-0.17802305367083993	Gene symbol not found
ENSG00000279954.1	-0.17800024619592283	Gene symbol not found
ENSG00000252919.1	-0.17688142541039895	Y_RNA
ENSG00000226320.5	-0.1759940886681316	LINC01811
ENSG00000267289.1	-0.17594150353920995	PIN1-DT
ENSG00000178163.7	-0.17244533815461094	ZNF518B
ENSG00000235151.1	-0.16770259119285977	Gene symbol not found
ENSG00000240423.1	-0.1660104982485985	LINC00636
ENSG00000173451.6	-0.16218442971019997	THAP2
ENSG00000061337.15	-0.16200909509170575	LZTS1
ENSG00000234379.1	-0.16197422618986973	HMGB1P48
ENSG00000273568.1	0.16065316040591876	Gene symbol not found
ENSG00000268866.1	-0.15936906014406332	Gene symbol not found
ENSG00000233108.1	-0.1588876196639205	GLCCI1-DT
ENSG00000113494.16	-0.1583368814988153	PRLR
ENSG00000254251.1	0.15822289768177722	Gene symbol not found
ENSG00000272969.1	-0.15771419821116753	Gene symbol not found
