	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11521210584509872	
ENSG00000279039.1	-0.09510036727476374	
ENSG00000052344.15	0.09239926957720865	PRSS8
ENSG00000175718.9	0.09008051921228885	RBMXL3
ENSG00000117594.9	0.08832893268149644	HSD11B1
ENSG00000151718.15	-0.08820645332430195	WWC2
ENSG00000089225.19	0.08527330534158495	TBX5
ENSG00000266227.1	-0.07939848647510915	NPM1P2
ENSG00000187867.8	0.07900305747932533	PALM3
ENSG00000271178.1	-0.07774035051780032	IGHV3OR16-13
ENSG00000227432.1	0.07684770713377691	ASIC4-AS1
ENSG00000253293.4	-0.07635475398872621	HOXA10
ENSG00000236968.1	-0.07633650962739032	Gene symbol not found
ENSG00000221977.1	-0.07494700766595311	OR4E2
ENSG00000145888.10	0.07439003629409424	GLRA1
ENSG00000249005.3	-0.07348399428807609	FAM90A4P
ENSG00000235070.3	-0.07292127177512175	Gene symbol not found
ENSG00000213435.3	-0.07245230266350966	ATP6V0CP3
ENSG00000138759.18	-0.07111932372687535	FRAS1
ENSG00000100302.6	0.07104976243432333	RASD2
ENSG00000131095.12	0.07096972238146974	GFAP
ENSG00000248229.1	-0.07066199295610473	Gene symbol not found
ENSG00000181656.6	-0.07013219242353323	GPR88
ENSG00000070159.13	-0.06964699885155917	PTPN3
ENSG00000228467.2	-0.06958862877864071	Gene symbol not found
ENSG00000263505.1	-0.06940475250899934	SLC25A3P3
ENSG00000144119.3	0.0686127364805396	C1QL2
ENSG00000181195.10	0.06852611758611747	PENK
ENSG00000213698.2	-0.06820678167395626	CAPZA1P3
ENSG00000257737.1	-0.06815753642648639	Gene symbol not found
ENSG00000276945.1	-0.0679072086878888	Gene symbol not found
ENSG00000197919.5	0.06784986883828349	IFNA1
ENSG00000145358.6	0.06569498877604889	DDIT4L
ENSG00000248211.1	-0.06514790244193602	TRPC7-AS1
ENSG00000072182.12	0.06420828471624129	ASIC4
ENSG00000241318.3	-0.06399574429352543	WDR82P2
ENSG00000261761.3	-0.06386743472734045	LINC02616
ENSG00000231464.1	-0.06371228290990796	PPP4R2P3
ENSG00000118495.18	-0.06303831333313667	PLAGL1
ENSG00000263862.1	-0.06288585055672476	LINC01543
ENSG00000266184.1	-0.06253462662068891	Gene symbol not found
ENSG00000120337.8	-0.06249102788510886	TNFSF18
ENSG00000136883.13	-0.06183530480634197	KIF12
ENSG00000238166.2	-0.06177878191846068	Gene symbol not found
ENSG00000143365.17	0.06171113581091905	RORC
ENSG00000268583.1	-0.06133856321215731	Gene symbol not found
ENSG00000267623.3	-0.06125130305809438	Gene symbol not found
ENSG00000198838.13	0.06113212346772443	RYR3
ENSG00000271671.1	-0.06024420129743805	Gene symbol not found
ENSG00000240478.1	-0.06009132433314248	Gene symbol not found
