	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.41274276266833365	EYA4
ENSG00000228526.6	0.39889745604720755	MIR34AHG
ENSG00000244694.7	0.3774587252899896	PTCHD4
ENSG00000170049.9	-0.34673026822558356	KCNAB3
ENSG00000147889.17	0.29997160976893733	CDKN2A
ENSG00000248799.1	-0.29696190664929517	Gene symbol not found
ENSG00000138829.11	-0.27016015189561576	FBN2
ENSG00000131080.14	0.2677166610463269	EDA2R
ENSG00000250337.5	0.2633212105138326	PURPL
ENSG00000227708.1	-0.25711645057270144	LINC01850
ENSG00000270212.1	-0.25341833592776775	Gene symbol not found
ENSG00000200036.1	-0.2518569481434034	RNA5SP65
ENSG00000244681.1	0.25062581188606026	MTHFD2P1
ENSG00000237438.7	0.24538056435630318	CECR7
ENSG00000281937.1	0.22646414794924977	
ENSG00000227704.1	-0.21776491967220904	Gene symbol not found
ENSG00000064655.18	0.20771380308750353	EYA2
ENSG00000206195.10	0.20590789319944103	DUXAP8
ENSG00000273455.1	0.20098326663512425	Gene symbol not found
ENSG00000225511.6	0.19736090980001134	LINC00475
ENSG00000224988.1	-0.19561515146952924	Gene symbol not found
ENSG00000168828.5	0.19255414076160876	OR13J1
ENSG00000233254.1	0.18495351722749787	RPL21P134
ENSG00000162639.15	-0.18458298561826117	HENMT1
ENSG00000267282.1	0.1806904171727879	Gene symbol not found
ENSG00000273604.1	-0.1801805164780052	EPOP
ENSG00000198807.12	0.17991428514023952	PAX9
ENSG00000255159.1	-0.17965437329372974	DENND2B-AS1
ENSG00000223284.1	-0.17823076735093013	RNU6-195P
ENSG00000196109.6	0.17753175131831544	ZNF676
ENSG00000217004.1	-0.17727123029293973	Gene symbol not found
ENSG00000269947.1	-0.17536095426853424	Gene symbol not found
ENSG00000081803.15	0.16981056158020133	CADPS2
ENSG00000168779.19	0.16893734589285925	SHOX2
ENSG00000213225.7	-0.16548728431045298	NOC2LP1
ENSG00000272922.1	0.16509493017421328	
ENSG00000111339.10	0.16430187550332925	ART4
ENSG00000278530.4	0.16361988313899747	CHMP1B2P
ENSG00000268079.1	0.16196754122001583	BNIP3P30
ENSG00000164109.13	-0.1600204255283169	MAD2L1
ENSG00000249973.2	0.15868366873662826	CHCHD2P7
ENSG00000255408.3	0.1583860071233747	PCDHA3
ENSG00000237512.6	0.1578679784777489	UNC5B-AS1
ENSG00000231952.3	-0.15706891579440413	DPY19L1P2
ENSG00000279067.1	0.15614500011763846	Gene symbol not found
ENSG00000198963.10	0.1558132149601421	RORB
ENSG00000113810.15	-0.15456760925914959	SMC4
ENSG00000260304.1	0.1543731056659286	Gene symbol not found
ENSG00000130943.6	-0.15327760892665804	PKDREJ
