	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6581115644408512	RETNLB
ENSG00000261075.1	-0.6349854142484433	LINC01195
ENSG00000048540.14	0.6048370644480257	LMO3
ENSG00000170381.12	0.5822030900131328	SEMA3E
ENSG00000244694.7	0.5499704609936426	PTCHD4
ENSG00000258641.1	-0.5463523110455872	OR4T1P
ENSG00000196427.13	0.4526777913994737	NBPF4
ENSG00000101977.19	0.43805614281209204	MCF2
ENSG00000252719.1	-0.4266720147905162	Gene symbol not found
ENSG00000270000.1	-0.42636756859987723	Gene symbol not found
ENSG00000261437.1	0.4202185549099375	LINC02894
ENSG00000146352.12	0.41582442182849877	CLVS2
ENSG00000224846.2	0.4111608966642099	NQO2-AS1
ENSG00000265359.1	-0.3940826728684856	Gene symbol not found
ENSG00000249412.1	0.39199387003780567	Gene symbol not found
ENSG00000260804.3	-0.38793168512787546	LINC01963
ENSG00000279348.1	-0.37937132379584265	Gene symbol not found
ENSG00000081803.15	0.3756717060938812	CADPS2
ENSG00000235595.1	-0.3695111840806392	GAPDHP23
ENSG00000242634.1	0.36903371329550855	RPS24P16
ENSG00000134533.6	0.36801419529940577	RERG
ENSG00000201811.1	-0.3601729782422267	SNORA71
ENSG00000236290.1	-0.3546406155045104	EEF1GP7
ENSG00000271321.1	0.3479248602867634	CTAGE6
ENSG00000167104.11	-0.34403386861915913	BPIFB6
ENSG00000224510.2	-0.33297704814178297	POLR2KP2
ENSG00000229251.3	-0.3249576358846917	HNRNPA1P8
ENSG00000224897.6	0.3249415514094337	POT1-AS1
ENSG00000253147.5	-0.3229054544197478	LINC03023
ENSG00000277120.5	-0.3224884907138485	MIR6089
ENSG00000257395.1	-0.3219175343316823	Gene symbol not found
ENSG00000207494.1	-0.3195799585900842	Y_RNA
ENSG00000205898.3	0.3190599951452664	Gene symbol not found
ENSG00000227413.1	0.3097320105863646	Gene symbol not found
ENSG00000105699.16	-0.30920798134430816	LSR
ENSG00000225636.1	0.3029870642345779	HNRNPA3P15
ENSG00000220848.4	0.3011928490151953	RPS18P9
ENSG00000037757.13	0.2849627869472045	MRI1
ENSG00000246130.1	0.28273345365734875	TNFRSF10B-AS1
ENSG00000260473.2	-0.28138957892605604	Gene symbol not found
ENSG00000270750.1	0.28124155594140265	
ENSG00000182963.9	-0.2807165528336448	GJC1
ENSG00000183506.17	0.276357177036616	PI4KAP2
ENSG00000270809.1	0.2691020789285665	CHCHD2P11
ENSG00000183386.9	-0.2687981596474665	FHL3
ENSG00000100368.13	-0.2633209044002638	CSF2RB
ENSG00000279645.1	-0.26271613184419096	
ENSG00000105643.9	-0.26142665981146795	ARRDC2
ENSG00000224675.1	0.2610424948970455	GALNT13-AS1
ENSG00000259005.1	-0.2566545612161329	Gene symbol not found
