	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4479227178059375	ZNF518B
ENSG00000104722.13	-1.701865439767322	NEFM
ENSG00000185010.13	1.580359224349979	F8
ENSG00000260015.1	1.4253622361620948	Gene symbol not found
ENSG00000166262.15	-1.162060875884047	FAM227B
ENSG00000159212.12	-1.0933374168864571	CLIC6
ENSG00000206195.10	1.0086278765364685	DUXAP8
ENSG00000148082.9	0.994888775289335	SHC3
ENSG00000224945.1	0.9625164928116818	Gene symbol not found
ENSG00000258628.1	0.9070101281259044	RHPN2P1
ENSG00000255408.3	0.9044445466114338	PCDHA3
ENSG00000106341.10	0.8836754859975832	PPP1R17
ENSG00000119973.5	0.8807060642201511	PRLHR
ENSG00000204176.13	-0.8792382074357816	SYT15
ENSG00000147889.17	0.8769936876529331	CDKN2A
ENSG00000244694.7	0.8617675535024217	PTCHD4
ENSG00000183770.5	0.764409003460784	FOXL2
ENSG00000255836.1	-0.7275682843835851	Gene symbol not found
ENSG00000229020.4	0.7253884868913911	AKR7A2P1
ENSG00000265366.6	0.7120374821493018	GLUD1P2
ENSG00000143355.15	0.6910665454371905	LHX9
ENSG00000088882.7	-0.6433457399008419	CPXM1
ENSG00000281205.1	-0.5930276521154347	
ENSG00000163071.10	0.5924049297066044	SPATA18
ENSG00000147027.3	0.592342656753756	TMEM47
ENSG00000213225.7	-0.5697266290250015	NOC2LP1
ENSG00000102796.10	-0.5610605024358775	DHRS12
ENSG00000100867.14	0.4726736483597498	DHRS2
ENSG00000214754.3	-0.4633083650216466	SRSF8CP
ENSG00000198804.2	-0.42324658025796386	MT-CO1
ENSG00000131080.14	0.3955905482381776	EDA2R
ENSG00000250218.1	0.38469749065421605	ALDH1L1-AS1
ENSG00000235268.2	-0.3692681974267365	KDM4E
ENSG00000240401.8	0.36354767840134106	
ENSG00000236833.1	0.3496809391318828	Gene symbol not found
ENSG00000272674.3	0.312063883844763	PCDHB16
ENSG00000275560.1	0.3117618112881842	
ENSG00000204969.6	0.29397746322678503	PCDHA2
ENSG00000255158.1	-0.271079946950458	Gene symbol not found
ENSG00000188011.5	-0.22134625478547224	RTP5
ENSG00000200769.1	-0.21847584173917234	Y_RNA
ENSG00000184378.2	-0.21581105238207848	ACTRT3
ENSG00000173947.13	-0.21396542115607597	CIMAP3
ENSG00000100196.10	-0.18598645316603757	KDELR3
ENSG00000054598.6	0.1828321658608541	FOXC1
ENSG00000124203.6	0.15794102076962155	ZNF831
ENSG00000272872.1	0.11467910552855878	
ENSG00000167281.18	-0.12911864338413842	RBFOX3
ENSG00000176046.8	-0.08419778440131735	NUPR1
