	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6674092083277261	RETNLB
ENSG00000261075.1	-0.6519821280789531	LINC01195
ENSG00000048540.14	0.6120410924965926	LMO3
ENSG00000170381.12	0.5869524272653507	SEMA3E
ENSG00000244694.7	0.5620139990087261	PTCHD4
ENSG00000258641.1	-0.5379512293323148	OR4T1P
ENSG00000196427.13	0.44322323929054985	NBPF4
ENSG00000101977.19	0.44090236253961945	MCF2
ENSG00000270000.1	-0.43466595760786103	Gene symbol not found
ENSG00000252719.1	-0.42241812786843674	Gene symbol not found
ENSG00000146352.12	0.4119613931744281	CLVS2
ENSG00000261437.1	0.4097424103592373	LINC02894
ENSG00000265359.1	-0.4062616426163782	Gene symbol not found
ENSG00000224846.2	0.40236798138002283	NQO2-AS1
ENSG00000260804.3	-0.39304536918041666	LINC01963
ENSG00000249412.1	0.39030179475652366	Gene symbol not found
ENSG00000201811.1	-0.3838044099963951	SNORA71
ENSG00000134533.6	0.38009200944034355	RERG
ENSG00000279348.1	-0.3772816349913664	Gene symbol not found
ENSG00000081803.15	0.37717916525249773	CADPS2
ENSG00000235595.1	-0.37021992738723175	GAPDHP23
ENSG00000242634.1	0.3631725739077795	RPS24P16
ENSG00000236290.1	-0.35488996106994897	EEF1GP7
ENSG00000271321.1	0.345426453328836	CTAGE6
ENSG00000253147.5	-0.3420157878289917	LINC03023
ENSG00000207494.1	-0.34115464120076977	Y_RNA
ENSG00000167104.11	-0.34111525625866584	BPIFB6
ENSG00000257395.1	-0.33661692487054085	Gene symbol not found
ENSG00000277120.5	-0.32747426802863244	MIR6089
ENSG00000224897.6	0.3271560066078912	POT1-AS1
ENSG00000229251.3	-0.3261492514592045	HNRNPA1P8
ENSG00000227413.1	0.3165349221990172	Gene symbol not found
ENSG00000224510.2	-0.31309139304662204	POLR2KP2
ENSG00000205898.3	0.3130763794097642	Gene symbol not found
ENSG00000220848.4	0.31082610491615353	RPS18P9
ENSG00000105699.16	-0.30851180330624145	LSR
ENSG00000225636.1	0.29223672123287453	HNRNPA3P15
ENSG00000270750.1	0.28516836501849824	
ENSG00000037757.13	0.2830675579638364	MRI1
ENSG00000260473.2	-0.28305775759251367	Gene symbol not found
ENSG00000246130.1	0.2820154640141895	TNFRSF10B-AS1
ENSG00000183506.17	0.27653207942917507	PI4KAP2
ENSG00000270809.1	0.27270385327246344	CHCHD2P11
ENSG00000182963.9	-0.2720763639464636	GJC1
ENSG00000183386.9	-0.27109797922758583	FHL3
ENSG00000105643.9	-0.2692264562736693	ARRDC2
ENSG00000100368.13	-0.26180301361472963	CSF2RB
ENSG00000217414.2	-0.2583056474254188	DDX18P3
ENSG00000267042.1	0.2553813771499864	Gene symbol not found
ENSG00000279645.1	-0.25298318902539585	
