	Coef_liver	Gene_name
ENSG00000242573.1	-0.37935485796909135	ACTR3P3
ENSG00000114631.10	-0.3114528538279435	PODXL2
ENSG00000219702.1	-0.3095428806796456	Gene symbol not found
ENSG00000261570.1	-0.2775628380613759	AGK-DT
ENSG00000259326.1	0.2613112597904522	Gene symbol not found
ENSG00000222426.1	-0.25998487920454927	RNU2-50P
ENSG00000271209.1	0.25284778525035995	BRDTP1
ENSG00000226703.1	-0.24507366820062726	NPM1P4
ENSG00000256436.1	0.24487202480885067	TAS2R31
ENSG00000254345.1	-0.23409693718931282	IGKV2D-23
ENSG00000283205.1	-0.23366904613476844	Gene symbol not found
ENSG00000253604.1	-0.232252881285796	Gene symbol not found
ENSG00000235118.7	-0.23148352197235475	FAM237A
ENSG00000228262.8	0.21884159695076996	LINC01320
ENSG00000260877.2	0.21737852297533927	Gene symbol not found
ENSG00000283288.1	-0.21564374865857225	SMIM33
ENSG00000264685.1	-0.2081448141590063	PRPF19P1
ENSG00000237631.2	0.2075063464816826	PARK7P2
ENSG00000238835.1	-0.20219394805840796	SCARNA18
ENSG00000231066.3	-0.20177384624771372	NPM1P9
ENSG00000103200.6	-0.201252907562821	Gene symbol not found
ENSG00000248647.2	0.19963483514530989	Gene symbol not found
ENSG00000250480.3	-0.19503731469497937	RLIG1P1
ENSG00000233057.1	0.19370922290577564	EEF1A1P14
ENSG00000273989.1	0.19134500072390948	Gene symbol not found
ENSG00000227240.1	0.19014157236227353	Gene symbol not found
ENSG00000108417.3	-0.18865222540158227	KRT37
ENSG00000283098.1	0.1882879055723795	Gene symbol not found
ENSG00000231849.1	-0.18792337348221266	UBE2V2P4
ENSG00000239958.3	-0.18279620821827683	RN7SL51P
ENSG00000214185.3	-0.18254271866259494	XPOTP1
ENSG00000236062.1	0.182505895695137	GSTM5P1
ENSG00000259845.1	-0.18102369837775834	HERC2P10
ENSG00000159247.13	0.18061282823673308	TUBBP5
ENSG00000225370.1	-0.17866241008154574	Gene symbol not found
ENSG00000205220.11	-0.17836252620165788	PSMB10
ENSG00000102053.12	0.17820193969491052	ZC3H12B
ENSG00000180855.15	0.17795506444666873	ZNF443
ENSG00000255147.1	-0.1756077954632831	EVA1CP4
ENSG00000150873.11	-0.17286132417412958	C2orf50
ENSG00000254106.1	-0.17123643519560622	LINC01848
ENSG00000152977.9	0.17095483260228553	ZIC1
ENSG00000179873.14	0.16782984736545828	NLRP11
ENSG00000227814.3	0.16767545838569176	MRPS17P9
ENSG00000284242.1	-0.1665532465762664	Gene symbol not found
ENSG00000272275.1	-0.16620302285788768	Gene symbol not found
ENSG00000081800.8	-0.16613751045894518	SLC13A1
ENSG00000278054.1	-0.1658741759282805	Gene symbol not found
ENSG00000277474.1	-0.16539239783758283	MIR6894
ENSG00000188738.14	0.16293398613237609	FSIP2
