	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.49015055294523036	SLC6A15
ENSG00000204764.13	-0.4006473370822333	RANBP17
ENSG00000237125.8	0.39883604013706564	HAND2-AS1
ENSG00000196109.6	0.3924434783970779	ZNF676
ENSG00000131080.14	0.38617894622778914	EDA2R
ENSG00000178163.7	-0.38224548580262685	ZNF518B
ENSG00000171551.11	-0.3696267176382396	ECEL1
ENSG00000244681.1	0.3692546217323481	MTHFD2P1
ENSG00000244694.7	0.3664722626695829	PTCHD4
ENSG00000204876.4	0.34881039437573963	Gene symbol not found
ENSG00000196767.6	0.3345052649922972	POU3F4
ENSG00000184905.8	0.32780428404167405	TCEAL2
ENSG00000164107.8	0.32183986372354934	HAND2
ENSG00000100285.9	-0.3187690834865828	NEFH
ENSG00000163564.14	0.3182650460434059	PYHIN1
ENSG00000128710.5	0.2960691717270484	HOXD10
ENSG00000040731.10	0.29345128655556224	CDH10
ENSG00000128713.13	0.2896636591230163	HOXD11
ENSG00000164690.7	0.2824611098039681	SHH
ENSG00000189233.11	0.2652152467569588	NUGGC
ENSG00000250957.1	0.26016993981324105	
ENSG00000180347.13	0.23639924988858657	ITPRID1
ENSG00000136944.17	-0.235628846673893	LMX1B
ENSG00000152467.9	-0.2328122817954819	ZSCAN1
ENSG00000008196.12	0.2293810925640771	TFAP2B
ENSG00000134853.11	-0.22692112276886053	PDGFRA
ENSG00000112319.17	0.22662008444677623	EYA4
ENSG00000203797.9	0.22552537500281875	DDO
ENSG00000179909.15	-0.21893518319502775	ZNF154
ENSG00000204519.10	-0.21844313272936589	ZNF551
ENSG00000226711.6	-0.2162324443043546	FAM66C
ENSG00000186205.12	0.21513983697155095	MTARC1
ENSG00000176658.16	0.21488561729983244	MYO1D
ENSG00000179399.14	0.21480765632563206	GPC5
ENSG00000172667.10	0.21085163656689188	ZMAT3
ENSG00000121335.11	0.20982141139650223	PRB2
ENSG00000181023.6	0.2059982347239661	OR56B1
ENSG00000168556.6	-0.20522318763518788	ING2
ENSG00000272872.1	0.20478139445678625	
ENSG00000159496.14	-0.2036604780729636	RGL4
ENSG00000184144.11	0.20245282692552408	CNTN2
ENSG00000162461.7	0.20175500494074344	SLC25A34
ENSG00000259236.1	0.19746864932619226	GOLGA8VP
ENSG00000261587.2	0.19615306137244665	TMEM249
ENSG00000213642.3	-0.1908967994802428	Gene symbol not found
ENSG00000250337.5	0.18860139807029838	PURPL
ENSG00000228971.2	-0.18615774833993784	LINC02607
ENSG00000101203.16	0.1860019268756024	COL20A1
ENSG00000174482.10	0.18324597752295155	LINGO2
ENSG00000128709.12	0.18292639147494721	HOXD9
