	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11516498337491475	
ENSG00000279039.1	-0.0938105132245967	
ENSG00000052344.15	0.09208757564234282	PRSS8
ENSG00000175718.9	0.08944292104680777	RBMXL3
ENSG00000117594.9	0.08936560543360962	HSD11B1
ENSG00000089225.19	0.08671851696538449	TBX5
ENSG00000151718.15	-0.0863549574542405	WWC2
ENSG00000266227.1	-0.08020341727522508	NPM1P2
ENSG00000227432.1	0.07769600277282672	ASIC4-AS1
ENSG00000187867.8	0.07655737979712006	PALM3
ENSG00000253293.4	-0.07638036928589462	HOXA10
ENSG00000271178.1	-0.0763240125188596	IGHV3OR16-13
ENSG00000145888.10	0.07567132929858296	GLRA1
ENSG00000236968.1	-0.07523437936773986	Gene symbol not found
ENSG00000235070.3	-0.07443444806918284	Gene symbol not found
ENSG00000213435.3	-0.07437707677895744	ATP6V0CP3
ENSG00000249005.3	-0.07414029891985913	FAM90A4P
ENSG00000221977.1	-0.07412506254752427	OR4E2
ENSG00000131095.12	0.0717267138993083	GFAP
ENSG00000100302.6	0.07057833215057778	RASD2
ENSG00000181195.10	0.07055476077174254	PENK
ENSG00000248229.1	-0.07020532154184898	Gene symbol not found
ENSG00000181656.6	-0.07017956809634551	GPR88
ENSG00000070159.13	-0.07007485352766891	PTPN3
ENSG00000138759.18	-0.07006642118858565	FRAS1
ENSG00000263505.1	-0.06893372229667494	SLC25A3P3
ENSG00000276945.1	-0.0688372089792055	Gene symbol not found
ENSG00000144119.3	0.06874652995972445	C1QL2
ENSG00000228467.2	-0.06861903904943187	Gene symbol not found
ENSG00000197919.5	0.06757297191017037	IFNA1
ENSG00000145358.6	0.06716041447130744	DDIT4L
ENSG00000248211.1	-0.06674536638019231	TRPC7-AS1
ENSG00000261761.3	-0.06665220091717206	LINC02616
ENSG00000213698.2	-0.0663672061388344	CAPZA1P3
ENSG00000257737.1	-0.06619719541428812	Gene symbol not found
ENSG00000240478.1	-0.06522175387858885	Gene symbol not found
ENSG00000241318.3	-0.06479331578286186	WDR82P2
ENSG00000072182.12	0.06441538972760176	ASIC4
ENSG00000266184.1	-0.06397169021433895	Gene symbol not found
ENSG00000263862.1	-0.06357684681972824	LINC01543
ENSG00000118495.18	-0.0629914147303805	PLAGL1
ENSG00000271671.1	-0.062467318262278665	Gene symbol not found
ENSG00000231464.1	-0.062221856410273245	PPP4R2P3
ENSG00000198838.13	0.06176130831859018	RYR3
ENSG00000249061.1	-0.06171903431834017	Gene symbol not found
ENSG00000143365.17	0.06139911184002336	RORC
ENSG00000238166.2	-0.061354910188648464	Gene symbol not found
ENSG00000120337.8	-0.06109916520092523	TNFSF18
ENSG00000268583.1	-0.06065358170388156	Gene symbol not found
ENSG00000254954.1	-0.060090390010446845	SLC2A13P1
