	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.4114634456436296	EYA4
ENSG00000228526.6	0.39814638859777207	MIR34AHG
ENSG00000244694.7	0.38028407837715694	PTCHD4
ENSG00000170049.9	-0.34294582399673373	KCNAB3
ENSG00000248799.1	-0.29946499461368437	Gene symbol not found
ENSG00000147889.17	0.29498620631975275	CDKN2A
ENSG00000131080.14	0.26978255613879143	EDA2R
ENSG00000138829.11	-0.268303993612861	FBN2
ENSG00000250337.5	0.2638922611122615	PURPL
ENSG00000270212.1	-0.256772821158245	Gene symbol not found
ENSG00000244681.1	0.25335801421580567	MTHFD2P1
ENSG00000227708.1	-0.24995439005609996	LINC01850
ENSG00000200036.1	-0.24803974349943972	RNA5SP65
ENSG00000237438.7	0.24138241838654673	CECR7
ENSG00000281937.1	0.22912240652710109	
ENSG00000227704.1	-0.2207607811987668	Gene symbol not found
ENSG00000064655.18	0.20786654690657122	EYA2
ENSG00000206195.10	0.19849391805017008	DUXAP8
ENSG00000273455.1	0.19804038143569333	Gene symbol not found
ENSG00000225511.6	0.185717870575002	LINC00475
ENSG00000168828.5	0.18551103130860297	OR13J1
ENSG00000224988.1	-0.184813505031805	Gene symbol not found
ENSG00000162639.15	-0.18408722156763146	HENMT1
ENSG00000267282.1	0.18243139235028072	Gene symbol not found
ENSG00000255159.1	-0.18085187875818667	DENND2B-AS1
ENSG00000198807.12	0.18064501994198295	PAX9
ENSG00000233254.1	0.17858539362761217	RPL21P134
ENSG00000273604.1	-0.17841776462175268	EPOP
ENSG00000196109.6	0.1781459448492003	ZNF676
ENSG00000223284.1	-0.17731097735987772	RNU6-195P
ENSG00000269947.1	-0.1727728512203396	Gene symbol not found
ENSG00000217004.1	-0.1708587965359992	Gene symbol not found
ENSG00000081803.15	0.17042438577054642	CADPS2
ENSG00000168779.19	0.1703445035044381	SHOX2
ENSG00000278530.4	0.16514383472877245	CHMP1B2P
ENSG00000272922.1	0.16372108677186156	
ENSG00000111339.10	0.16229526042008485	ART4
ENSG00000213225.7	-0.16119277788819092	NOC2LP1
ENSG00000268079.1	0.1593848137839051	BNIP3P30
ENSG00000231952.3	-0.1593104894051658	DPY19L1P2
ENSG00000226925.1	-0.15888676770251253	IL1R1-AS1
ENSG00000237512.6	0.1582209019821215	UNC5B-AS1
ENSG00000255408.3	0.15703430324639703	PCDHA3
ENSG00000164109.13	-0.15630105674937836	MAD2L1
ENSG00000130943.6	-0.15625155579167097	PKDREJ
ENSG00000198963.10	0.1553079641428679	RORB
ENSG00000249973.2	0.15423804185417764	CHCHD2P7
ENSG00000279067.1	0.15170027344132805	Gene symbol not found
ENSG00000260304.1	0.15146379998173676	Gene symbol not found
