	Coef_liver	Gene_name
ENSG00000242573.1	-0.3673005024303604	ACTR3P3
ENSG00000114631.10	-0.3145985347658198	PODXL2
ENSG00000219702.1	-0.3111037739461342	Gene symbol not found
ENSG00000261570.1	-0.2722064090841662	AGK-DT
ENSG00000222426.1	-0.26690832726387215	RNU2-50P
ENSG00000259326.1	0.2552649841681793	Gene symbol not found
ENSG00000271209.1	0.25022554158047616	BRDTP1
ENSG00000254345.1	-0.24665434273220807	IGKV2D-23
ENSG00000256436.1	0.24308442347516027	TAS2R31
ENSG00000253604.1	-0.23954946105099373	Gene symbol not found
ENSG00000226703.1	-0.23392681055476208	NPM1P4
ENSG00000283205.1	-0.232116838282481	Gene symbol not found
ENSG00000283288.1	-0.22608338311300627	SMIM33
ENSG00000260877.2	0.21637741952181094	Gene symbol not found
ENSG00000235118.7	-0.21566236037237083	FAM237A
ENSG00000228262.8	0.21450288337856208	LINC01320
ENSG00000237631.2	0.20967240504277962	PARK7P2
ENSG00000238835.1	-0.20881486744192054	SCARNA18
ENSG00000231066.3	-0.20594152718656183	NPM1P9
ENSG00000264685.1	-0.20258404133258237	PRPF19P1
ENSG00000250480.3	-0.20177499592500558	RLIG1P1
ENSG00000248647.2	0.20126655714903682	Gene symbol not found
ENSG00000233057.1	0.19875909826732432	EEF1A1P14
ENSG00000283098.1	0.1947724136609437	Gene symbol not found
ENSG00000227240.1	0.19466502898239446	Gene symbol not found
ENSG00000273989.1	0.19398950086790834	Gene symbol not found
ENSG00000103200.6	-0.19223444016864988	Gene symbol not found
ENSG00000159247.13	0.18764751598554896	TUBBP5
ENSG00000259845.1	-0.18686614003109045	HERC2P10
ENSG00000108417.3	-0.18666781242230976	KRT37
ENSG00000255147.1	-0.18387225815385025	EVA1CP4
ENSG00000231849.1	-0.18087090921589535	UBE2V2P4
ENSG00000236062.1	0.17952453266626286	GSTM5P1
ENSG00000214185.3	-0.1794580797016059	XPOTP1
ENSG00000205220.11	-0.1778337722980107	PSMB10
ENSG00000254106.1	-0.17742348862608381	LINC01848
ENSG00000225370.1	-0.17665887254548626	Gene symbol not found
ENSG00000180855.15	0.1765678102627028	ZNF443
ENSG00000239958.3	-0.1746214714958291	RN7SL51P
ENSG00000152977.9	0.17404213655800402	ZIC1
ENSG00000102053.12	0.1701130173648617	ZC3H12B
ENSG00000150873.11	-0.1699664854783715	C2orf50
ENSG00000284242.1	-0.1690888107565796	Gene symbol not found
ENSG00000227814.3	0.1682189499216763	MRPS17P9
ENSG00000277474.1	-0.16573162993502988	MIR6894
ENSG00000272275.1	-0.16492641991619703	Gene symbol not found
ENSG00000197921.5	-0.16406153415843072	HES5
ENSG00000081800.8	-0.1635412622124843	SLC13A1
ENSG00000188738.14	0.16324968475087132	FSIP2
ENSG00000179873.14	0.16257962628125414	NLRP11
