	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.49327196096105685	SLC6A15
ENSG00000204764.13	-0.4054374602282114	RANBP17
ENSG00000237125.8	0.39573459533292477	HAND2-AS1
ENSG00000196109.6	0.3943630738317495	ZNF676
ENSG00000131080.14	0.39137879186619307	EDA2R
ENSG00000178163.7	-0.38235416153949275	ZNF518B
ENSG00000171551.11	-0.37622008664111634	ECEL1
ENSG00000244681.1	0.37043740752264204	MTHFD2P1
ENSG00000244694.7	0.36533622292984147	PTCHD4
ENSG00000204876.4	0.35090354141539276	Gene symbol not found
ENSG00000196767.6	0.33814318880817434	POU3F4
ENSG00000184905.8	0.32778699796413474	TCEAL2
ENSG00000100285.9	-0.32075352898516385	NEFH
ENSG00000164107.8	0.3189716171938599	HAND2
ENSG00000163564.14	0.3146950367547753	PYHIN1
ENSG00000128710.5	0.2923888125165594	HOXD10
ENSG00000040731.10	0.28853819396121694	CDH10
ENSG00000128713.13	0.28361780128328595	HOXD11
ENSG00000164690.7	0.2786725167260988	SHH
ENSG00000189233.11	0.2699327758994539	NUGGC
ENSG00000250957.1	0.26778470845546143	
ENSG00000008196.12	0.23512673933720948	TFAP2B
ENSG00000136944.17	-0.23200123534693115	LMX1B
ENSG00000180347.13	0.23112047594479285	ITPRID1
ENSG00000152467.9	-0.22973546182762639	ZSCAN1
ENSG00000112319.17	0.2267566957001646	EYA4
ENSG00000134853.11	-0.22637550264483938	PDGFRA
ENSG00000203797.9	0.22579938397840738	DDO
ENSG00000204519.10	-0.2207407416899979	ZNF551
ENSG00000179909.15	-0.21704048354284491	ZNF154
ENSG00000179399.14	0.21404428773914516	GPC5
ENSG00000226711.6	-0.213882496005139	FAM66C
ENSG00000121335.11	0.21243269927263242	PRB2
ENSG00000176658.16	0.21128362697732803	MYO1D
ENSG00000186205.12	0.2105988098178624	MTARC1
ENSG00000172667.10	0.20923339820329043	ZMAT3
ENSG00000162461.7	0.2064348713121546	SLC25A34
ENSG00000272872.1	0.20440824099738972	
ENSG00000159496.14	-0.2027043803322403	RGL4
ENSG00000181023.6	0.20237818571772226	OR56B1
ENSG00000168556.6	-0.20145485941449143	ING2
ENSG00000184144.11	0.20131376272062	CNTN2
ENSG00000259236.1	0.1987492150925388	GOLGA8VP
ENSG00000213642.3	-0.1940940429030078	Gene symbol not found
ENSG00000228971.2	-0.19185064425800663	LINC02607
ENSG00000261587.2	0.19155708321861908	TMEM249
ENSG00000124205.15	-0.19005183424566408	EDN3
ENSG00000250337.5	0.18926574045860978	PURPL
ENSG00000174482.10	0.1876821885695804	LINGO2
ENSG00000256720.1	0.18494956051998232	BTG1P1
